Term,Pronunciation,Context / Example Usage,Notes,Tags
reduction,,,,Common-term
handlers,,,,unclassified
Fine-Grained,,,,unclassified
operational semantics,,,,
Wrocaw,,,,unclassified
Dariusz Biernacki,Dariush /ˈdarʲjuʃ/ Biernacki,,,Author
Filip Sieczkowski,,,,Author
functional programming,,,,
handler-equipped,,,,unclassified
Heriot-Watt,,,,unclassified
Mateusz Pyzik,,,,Author
non-local,,,,unclassified
observational equivalence,,,,
preserves,,,,unclassified
rewriting,,,,unclassified
semantics,,,,
shift0,,,,unclassified
structuring,,,,unclassified
well-suited,,,,unclassified
