Term,Pronunciation,Context / Example Usage,Notes,Tags
Andreas Abel,,,,Author
Oskar Eriksson,,,,Author
Nils Anders Danielsson,,,,Author
Stephanie Weirich,,,,Author
Jean-Philippe Bernardy,,,,Author
Arnaud Spiwack,,,,Author
Damiano Mazza,,,,researcher
Frank Pfenning,Frank “Fenning”,,,Author
Lars Birkedal,,,,Author
Simon Peyton Jones,,,,Author
University of Gothenburg,,,,Institution
erasure,,type erasure,,Common-term
context,,,,Common-term
ACM,,Association for Computing Machinery,,
formalization,,,,Common-term
Id,,,,
ICFP,,Conference,,Common-term
theorem,,,,Common-term
Abel,,,,Name
dependent,,,,Common-term
lemma,,,,Common-term
logical relation,,,,Common-term
modal,,,,
modality,,,,Common-term
modalities,,,,Common-term
reducibility,,,,
universe,,dependent types,,theory
Agda,,Agda-style,,Common-term Programming-language
judgement,,dependent types,,theory
linear,,,,Common-term
semantics,,,,
reduction,,,,Common-term
induction,,,,Common-term
quantitative,,,,
subject reduction,,,,Common-term
recursion,,,,Common-term
decidability,,,,
calculus,,Used to describe a core simple programming language,,Common-term
Choudhury,,,,
semiring,,,,
McBride,,,,Name
lattice,,,,Common-term
linear types,,,,Common-term
weakening,,,,Common-term
Bernardy,,,,
Dependent types,,,,types
meta-theory,,,"also ""metatheory""",Common-term
normalization,,computations,,theory
well-formed,,,,Common-term
Coq,“Coq”,,,Common-term programming-language theorem-prover
decidable,,,,
syntax,,,,Common-term
Elimination,,,,
match,,,,
abstractions,,,,
axioms,,,,
expression,,,,Common-term
lambda,lam-duh,Used to refer to anonymous functions “we have a lambda function here”,theory,
matching,,“pattern matching”,,Common-term
multiplicative,,,,
recursive,,,,Common-term
well-typed,,,,Common-term
Chalmers University of Technology,,,,Institute
higher-order,,,,Common-term
subtyping,,,,Common-term
syntactic,,,,Common-term
algorithmic,,,,Common-term
canonicity,,,,
compiled,,,,
conclusion,,,,
conjunction,,,,
consistency,,Gradual typing,,theory
constructor,,,,Common-term
derive,,,,
functional programming,,,,
generic,,,,
Giarrusso ,,,,
heap,,,,
Idris,,,,
inductive,,,,Common-term
polymorphic,,,,Common-term
POPL,pop-ill,Conference,,Common-term
recursor,,,,Common-term
axiom,,,,
Brady,,,,
Call-by-Name,,(CBN),,Common-term evaluation
closure,,,,Common-term
closures,,,,Common-term
compiler,,,,Common-term
derivation,,,,
distribution,,,,
extensionality,,,,Common-term
idempotent,,,,Common-term
K ,,“K axiom”,,
Kripke,,“Kripke semantics”,,Name
monotone,,,,Common-term
operational semantics,,,,
pattern matching,,,,
polymorphism,,,,Common-term
SIGPLAN,,special interest group on programming languages,,
untyped,,,,
untyped lambda calculus,,,,Common-term
algebra,,,,
algebras,,,,
andreas.abel@gu.se,,,,email
binder,like in bind,,,
comonad,Koe-mow-nad,,,
compile-time,,,,Common-term
constraint solver,,,,
Coq's,“Coq”,,,Common-term programming-language theorem-prover
definitionally,,,,theory
expressiveness,,,,Common-term
extensional,,functions,,theory
force,,,,Common-term evaluation
Haskell,,,,Common-term programming-language
Idris 2,,,,
IEEE,eye triple e,Institute of Electrical and Electronics Engineers,,
inferring,,,,
iterations,,,,
linear Haskell,,,,
metatheory,,,,Common-term
monadic,Mow-nad-ick,,,
monotonicity,,Mathematical property,,Common-term
multimodal,,,,
nad@cse.gu.se,,,,email
object-oriented,,,,Common-term paradigm
oskar.eriksson@gu.se,,,,email
predicative,,,,Common-term
Proof-irrelevant,,,,Common-term
redexes,,,,Common-term
