Term,Pronunciation,Context / Example Usage,Notes,Tags
Stephanie Weirich,,,,Author
Yiyun Liu,,,,Author
Simon Peyton Jones,,,,Author
Andreas Abel,,,,Author
Niki Vazou,,,,Author
Ilya Sergey,,,,Author
Jean-Philippe Bernardy,,,,Author
Joachim Breitner,,,,Author
Ranjit Jhala,,,,Author
Robert Dockins,,,,Author
Wouter Swierstra,,,,Author
Yannick Zakowski,,,,Author
University of Pennsylvania,,,,Institution
Cornell University,,Institution,,Institution
University of California,,,,Institution
lemma,,,,Common-term
reduction,,,,Common-term
Haskell,,,,Common-term programming-language
context,,,,Common-term
ICFP,,,,Common-term
reflection,,,,Common-term
dependently-typed,,,,types
succ,,,,
consistency,,Gradual typing,,theory
type checker,,,,Common-term
reify,,,,Common-term
runtime,,,,Common-term
reduction relation,,,,
logical relation,,,,Common-term
dependent,,,,Common-term
inductive,,,,Common-term
reflect,,,,
theorem,,,,Common-term
induction,,,,Common-term
congruence,,,,Common-term
Coq,“Coq”,,,Common-term programming-language theorem-prover
Agda,,Agda-style,,Common-term Programming-language
syntax,,,,Common-term
lambda,lam-duh,Used to refer to anonymous functions “we have a lambda function here”,theory,
recursion,,,,Common-term
untyped,,,,
Choudhury,,,,
compiler,,,,Common-term
decidable,,,,
erasure,,type erasure,,Common-term
propositional equality,,,,Common-term
Dependent types,,,,types
operational semantics,,,,
expression,,,,Common-term
expressive,,,,Common-term
extensional,,functions,,theory
Liquid Haskell,,,,Tool programming-language
semantics,,,,
functional programming,,,,
judgement,,dependent types,,theory
axiom,,,,
calculus,,Used to describe a core simple programming language,,Common-term
expressiveness,,,,Common-term
GHC,,,,compiler tool
headers,,,,
nil,,,,
pattern matching,,,,
polymorphism,,,,Common-term
quantitative,,,,
Semantic,,,,Common-term
abstraction,,,,Common-term
Capretta,,,,
closure,,,,Common-term
derive,,,,
equational,,,,Common-term
fixpoint,,,,Common-term
match,,,,
recursive,,,,Common-term
well-typed,,,,Common-term
combinator,,,,Common-term
constructor,,,,Common-term
derivation,,,,
extensionality,,,,Common-term
Glasgow Haskell Compiler,,,,compiler tool
Idris,,,,
modal,,,,
modalities,,,,Common-term
normalization,,computations,,theory
refinements,,,,
SMT solver,,Type of tool for solving SMT problems,,Tool
Swamy,,,,
syntactic,,,,Common-term
universe,,dependent types,,theory
Vazou,,,,
Why,,,,
Abel,,,,Name
abstractions,,,,
Brady,,,,
Cardelli,,,,
cast,,Gradual typing,,theory
coinductive,,,,Common-term
conclusion,,,,
Elimination,,,,
heterogeneous,,,,
Kiselyov,,,,
MLTT,,short for Martin-Lof Type Theory/dependent type,,theory
polymorphic,,,,Common-term
predicative,,,,Common-term
quantified,,,,Common-term
reduction semantics,,,,
reflexivity,,,,Common-term
reified,,,,
SMT ,,,,
algorithmic,,,,Common-term
Bernardy,,,,
capability,,,,
Church-Rosser,,,,
compiled,,,,
datatype,,,,Common-term
decidability,,,,
definitionally,,,,theory
Dijkstra monad ,/ˈdɑɪkstɹə/ DYKE-struh,,,
divergence,,,,Common-term
ecosystem,,,,
fold,,,,Common-term
formalization,,,,Common-term
Fraser,,,,
functor,,,,Common-term
generic,,,,
higher-order,,,,Common-term
Hsu,,,,
Idris 2,,,,
lambda calculus,lam-duh calculus,,,theory
lattice,,,,Common-term
liuyiyun@seas.upenn.edu,,,,email
mechanization,,,,
monad,Mow-nad,,,Common-term
observational,,,,
