Term,Pronunciation,Context / Example Usage,Notes,Tags
Gan Shen,,,,Author
Lindsey Kuper,,,,Author
Shun Kashiwa,,,,Author
Adam Chlipala,,,,Author
Einar Broch Johnsen,,,,Author
Giuseppe Castagna,,,,Author
Jeremy Yallop,,,,Author
Sam Lindley,,,,Author
Shriram Krishnamurthi,,,,Author
University of California,,,,Institution
IT University of Copenhagen,,,,Institution
monad,Mow-nad,,,Common-term
ACM,,Association for Computing Machinery,,
endpoint,,,,
ICFP,,Conference,,Common-term
higher-order,,,,Common-term
IO,Eye-oh,,,
protocol,,,,
Haskell,,,,Common-term programming-language
polymorphism,,,,Common-term
freer monad,,,,
IORef,Eye-oh ref,,,
K ,,“K axiom”,,
Eff,,,,
expression,,,,Common-term
effectful,,,,
API,A.P.I.,Application Programming Interface,,Common-term
freer monads,,,,
type-level,,,,Common-term
monadic,Mow-nad-ick,,,
abstraction,,,,Common-term
forall,,quantifier,,Common-term logic
Honda,,,,
IEEE,eye triple e,Institute of Electrical and Electronics Engineers,,
abstractions,,,,
continuation,,,,
session types,,,,
constructor,,,,Common-term
effect handler,,,,
object-oriented,,,,Common-term paradigm
paradigm,,,,Common-term
POPL,pop-ill,Conference,,Common-term
semantics,,,,
SIGPLAN,,special interest group on programming languages,,
compiled,,,,
deadlock freedom,,,,
functional programming,,,,
Ishii,,,,
Java,,,,
Kiselyov,,,,
Pascal,,,,
alias,,,,
compiler,,,,Common-term
context,,,,Common-term
Deadlock,,,,
DSL,,,,
ecosystem,,,,
generic,,,,
GHC,,,,compiler tool
Glasgow Haskell Compiler,,,,compiler tool
modularity,,,,Common-term
OOPSLA,oops-la,,,Conference
polymorphic,,,,Common-term
Redmond,,,,
applicative,,,,Common-term
boilerplate,,,,
conclusion,,,,
concurrent,,,,Common-term
consistency,,Gradual typing,,theory
Coq,“Coq”,,,Common-term programming-language theorem-prover
datatype,,,,Common-term
decidable,,,,
functor,,,,Common-term
Gay ,,,,Name
JavaScript,,,,Common-term programming-language
Kleisli,,,,
Krishnamurthi,,,,
lambda,lam-duh,Used to refer to anonymous functions “we have a lambda function here”,theory,
match,,,,
optional,,,,
Power,,,,
reflect,,,,
Semantic,,,,Common-term
Wadler,,,,Name
well-typed,,,,Common-term
HasChor,,,,unclassified
Choreo,,,,unclassified
backend,,,,unclassified
key-value,,,,unclassified
kvs,,,,unclassified
Montesi,,,,unclassified
HasChor's,,,,unclassified
recv,,,,unclassified
Giallorenzo,,,,unclassified
ChoreoSig,,,,unclassified
Fabrizio,,,,unclassified
handleRequest,,,,unclassified
HTTP,,,,unclassified
Cruz-Filipe,,,,unclassified
ReplicationStrategy,,,,unclassified
doBackup,,,,unclassified
LocTm,,,,unclassified
multitier,,,,unclassified
runChoreo,,,,unclassified
runChoreography,,,,unclassified
toFreer,,,,unclassified
interpFreer,,,,unclassified
primaryBackup,,,,unclassified
client-server,,,,unclassified
NetworkSig,,,,unclassified
priceOf,,,,unclassified
primary-backup,,,,unclassified
