Term,Pronunciation,Context / Example Usage,Notes,Tags
Nicolas Wu,,,,Author
Zhixuan Yang,gee-shaun-young,,,Author
Matija Pretnar,,,,researcher
John Power,,,,researcher
Eugenio Moggi,,,,researcher
Gordon Plotkin,,,,researcher
Imperial College London,,,,Institution
mathematical models,,,,Common-term
computational effects,,,,Common-term
programming languages,,,,Common-term
algebraic effects,,,,Common-term
operations,,,,Common-term
exception catching,,,,Common-term
parallel composition,,,,Common-term
concurrent programs,,,,Common-term
lock,,,,Common-term
monad,Mow-nad,,,Common-term
monadic,,,,Common-term
monad transformers,,,,Common-term
graded monads,,,,Common-term
applicatives,,,,Common-term
applicative functors,,,,Common-term
arrows,,,,Common-term
category theory,,,,Common-term
non-pure,,,,Common-term
monoid,,,,Common-term
monoidal category,,,,Common-term
endofunctor,,,,Common-term
composition,,,,Common-term
internal languages,,,,Common-term
unary type theory,,,,Common-term
base type,,,,Common-term
primitive terms,,,,Common-term
equations,,,,Common-term
type theory,,,,Common-term
type former,,,,Common-term
inference rule,,,,Common-term
introduction rule,,,,Common-term
elimination rule,,,,Common-term
judgemental equalities,,,,Common-term
morphisms,,,,Common-term
identity morphism,,,,Common-term
equational laws,,,,Common-term
terms,,,,Common-term
objects,,,,Common-term
mutable state,,,,Common-term
function types,,,,Common-term
product types,,,,Common-term
exception,,,,Common-term
nondeterminism,,,,Common-term
nondeterministic,,,,Common-term
type constructor,,,,Common-term
higher-order store,,,,Common-term
effectful,,,,Common-term
algebraic theory,,,,Common-term
nullary,,,,Common-term
unary,,,,Common-term
binary,,,,Common-term
nondeterministic choice,,,,Common-term
associativity,,,,Common-term
free models,,,,Common-term
inductive type,,,,Common-term
μ/mu,,,,Common-term
recursion,,,,Common-term
isomorphic,,,,Common-term
quotiented,,,,Common-term
handle,,,,Common-term
operation calls,,,,Common-term
modularity,,,,Common-term
sequential composition,,,,Common-term
algebraicity,,,,Common-term
linear product,,,,Common-term
beta-and-eta equalities,,,,Common-term
Day tensor product,,,, Common-term
lambda abstraction,,,,Common-term
coreflective subcategory,,,,Common-term
coreflector,,,,Common-term
