Term,Pronunciation,Context / Example Usage,Notes,Tags
Simon Fowler,,,,Author
Phil Trinder,,,,Author
Duncan Paul Attard,,,,Author
Franciszek Sowul,,,,Author
Simon J. Gay,,,,Author
Sam Lindley,,,,Author
Einar Broch Johnsen,,,,Author
Mira Mezini,,Author,,Author
Sebastian Erdweg,,,,Author
Amal Ahmed,,,,Author
Giuseppe Castagna,,,,Author
Matthias Krebs,,Author,,Author
Naoki Kobayashi,,,,Author
Neel Krishnaswami,,,,Author
Peter Thiemann,,,,Author
Robbert Krebbers,,,,Author
GitHub,,,,Institution
ACM,,Association for Computing Machinery,,
algorithmic,,,,Common-term
calculus,,Used to describe a core simple programming language,,Common-term
ICFP,,Conference,,Common-term
subtyping,,,,Common-term
expression,,,,Common-term
Gay ,,,,Name
concurrent,,,,Common-term
runtime,,,,Common-term
aliasing,,,,
session types,,,,
capability,,,,
Erlang,,,,Common-term programming-language
stack,,,,
context,,,,Common-term
co-contextual,,,,
continuation,,,,
quasi-linear,,,,Common-term
linear,,,,Common-term
syntactic,,,,Common-term
bidirectional,,,,
Honda,,,,
contextual,,,,Common-term
semantics,,,,
typechecking,,,,Common-term
syntax,,,,Common-term
derivation,,,,
expressiveness,,,,Common-term
Elixir,,,,Common-term programming-language
judgement,,dependent types,,theory
concurrency,,,,Common-term
K ,,“K axiom”,,
sequential ,,,,
theorem,,,,Common-term
typechecker,,,,Common-term
derivative,,,,
reduction,,,,Common-term
axioms,,,,
Go,,,,
Java,,,,
linear types,,,,Common-term
POPL,pop-ill,Conference,,Common-term
protocol,,,,
Wadler,,,,Name
AGERE!@SPLASH,,,,email
automata,,,,Common-term
clause,,,,
operational semantics,,,,
scoped,,,,Common-term
type checker,,,,Common-term
well-typed,,,,Common-term
alias,,,,
calculi,,,,
Call-by-Value,,(CBV),,Common-term evaluation
conclusion,,,,
de Moura,,,,
Elimination,,,,
higher-order,,,,Common-term
lambda calculus,lam-duh calculus,,,theory
let-bound,,,,Common-term
Levy,,,,
McBride,,,,Name
metatheoretical,,,,Common-term
metatheory,,,,Common-term
nondeterministic,,,,
OCaml,,,,Common-term programming-language
OOPSLA,oops-la,,,Conference
polymorphism,,,,Common-term
recursive,,,,Common-term
Scala,,,,Common-term programming-language
type-level,,,,Common-term
unidirectional,,,,Common-term
weakening,,,,Common-term
Why,,,,
Z3,,Tool to automatically prove theorems,,Tool
Ahmed,,,,Name
algebra,,,,
Boolean,,,,
compiled,,,,
congruence,,,,Common-term
conservative,,,,theory
decidable,,,,
dependent,,,,Common-term
desugaring,,,,Common-term
