Term,Pronunciation,Context / Example Usage,Notes,Tags
Magnus Madsen,,,,Author
Philipp Schuster,,,,Author
Matthew Lutze,,,,Author
Sam Lindley,,,,Author
Daan Leijen,,,,Author
Edsko de Vries,,,,Author
Klaus Ostermann,,,,Author
Matthias Felleisen,,,,Author
GitHub,,,,Institution
Aarhus University,,,,Institution
Ecole Polytechnique,,Institution,,Institution
University of Edinburgh,,,,Institution
ACM,,Association for Computing Machinery,,
expression,,,,Common-term
stack,,,,
Boolean,,,,
ICFP,,Conference,,Common-term
unification,,,,
polymorphism,,,,Common-term
calculus,,Used to describe a core simple programming language,,Common-term
well-typed,,,,Common-term
universe,,dependent types,,theory
context,,,,Common-term
K ,,“K axiom”,,
theorem,,,,Common-term
polymorphic,,,,Common-term
Eff,,,,
reduction,,,,Common-term
algebraic effects,,,,
compiler,,,,Common-term
register,,,,
runtime,,,,Common-term
symbolic,,,,
callback,,,,
higher-order,,,,Common-term
Hindley-Milner,,,,
Java,,,,
operational semantics,,,,
semantics,,,,
syntax,,,,Common-term
Algorithm W,,,,
Pol,,Subcategory of Meas whose objects are Borel spaces,,
Gifford,,,,
Lucassen,,,,
Pretnar,,,,
Scheme,,,,Common-term programming-language
algebra,,,,
API,A.P.I.,Application Programming Interface,,Common-term
Call-by-Value,,(CBV),,Common-term evaluation
effectful,,,,
expressive,,,,Common-term
higher-order function,,,,
lambda,lam-duh,Used to refer to anonymous functions “we have a lambda function here”,theory,
lemma,,,,Common-term
relational,,,,
Deadlock,,,,
Elimination,,,,
Go,,,,
IO,Eye-oh,,,
lambda calculus,lam-duh calculus,,,theory
memory management,,,,Common-term
OOPSLA,oops-la,,,Conference
SIGPLAN,,special interest group on programming languages,,
syntactic,,,,Common-term
abstraction,,,,Common-term
abstractions,,,,
fn,,,,
formalization,,,,Common-term
functional programming,,,,
Gen,,,,
Leroy,,,,Name
Levy,,,,
McBride,,,,Name
modifier,,,,
OCaml,,,,Common-term programming-language
pattern matching,,,,
Pottier,,,,
Power,,,,
recursion,,,,Common-term
Scala,,,,Common-term programming-language
algebras,,,,
Appel,,,,
Async,,,,
category,,,,
compile-time,,,,Common-term
conclusion,,,,
concurrency,,,,Common-term
congruence,,,,Common-term
derivation,,,,
destructor,,,,Common-term
effect handlers,,,,
equational,,,,Common-term
Felleisen,,,,
Haskell,,,,Common-term programming-language
induction,,,,Common-term
iterator,,,,Common-term
judgement,,dependent types,,theory
Koka,,,,Programming-language
let-bound,,,,Common-term
magnusm@cs.au.dk,,,,email
match,,,,
ML,,,,Programming-language
mlutze@cs.au.dk,,,,email
modularity,,,,Common-term
monomorphization,,,,
quantified,,,,Common-term
recursive,,,,Common-term
reflection,,,,Common-term
Steele,,,,Name
syntax-directed,,,,
tail call,,,,
type substitution,,,,
type-and-effect system,,,,
type-level,,,,Common-term
Why,,,,
ef1,,,,unclassified
ef2,,,,unclassified
Brachthauser,,,,unclassified
onMousePressed,,,,unclassified
sub-effecting,,,,unclassified
real-world,,,,unclassified
RunWithErrorHandler,,,,unclassified
EventBus,,,,unclassified
handle_error_no_raise,,,,unclassified
println,,,,unclassified
without-frame,,,,unclassified
at_exit,,,,unclassified
doRead,,,,unclassified
if-then-else,,,,unclassified
"Print(""Clicked",,,,unclassified
addActionListener,,,,unclassified
addSubscriber,,,,unclassified
CSafeIOException,,,,unclassified
ftv,,,,unclassified
func,,,,unclassified
Int32,,,,unclassified
JVM,,,,unclassified
open-source,,,,unclassified
region-based,,,,unclassified
RunTransaction,,,,unclassified
SVE,,,,unclassified
T-Eq,,,,unclassified
term-level,,,,unclassified
amule-project/amule,,,,unclassified
effect-polymorphic,,,,unclassified
false,,,,unclassified
ForEachConnReq,,,,unclassified
Hillerstrom,,,,unclassified
Hindley,,,,unclassified
Kammar,,,,unclassified
