Term,Pronunciation,Context / Example Usage,Notes,Tags
Wouter Swierstra,,,,Author
Utrecht University,,,,Institution
cons,kon-ss,,,
succ,,,,
nil,,,,
reify,,,,Common-term
monoidal,,,,Common-term
K ,,“K axiom”,,
monoids,,,,Common-term
expression,,,,Common-term
induction,,,,Common-term
lemma,,,,Common-term
monoid,,,,Common-term
recursive,,,,Common-term
Agda,,Agda-style,,Common-term Programming-language
constructor,,,,Common-term
Swierstra,,,,
definitionally,,,,theory
Boolean,,,,
fold,,,,Common-term
Allais,,,,
Gibbons,,,,
McBride,,,,Name
Yoneda,,Yoneda embedding / yoneda lemma,,
ACM,,Association for Computing Machinery,,
Armstrong,,,,
dependent,,,,Common-term
Dybjer,,,,
evaluator,,,,
Id,,,,
inductive,,,,Common-term
quadratic,,,,Common-term
theorem,,,,Common-term
abstraction,,,,Common-term
algebras,,,,
calculus,,Used to describe a core simple programming language,,Common-term
category,,,,
Chalmers University of Technology,,,,Institute
Chapman,,,,
clause,,,,
coherence,,,,
conjunction,,,,
datatype,,,,Common-term
Dependent types,,,,types
distribution,,,,
match,,,,
metaprogramming,,,,Common-term
normalization,,computations,,theory
ornaments,,,,
pattern matching,,,,
recursion,,,,Common-term
reflection,,,,Common-term
semantics,,,,
SIGPLAN,,special interest group on programming languages,,
unification,,,,
w.s.swierstra@uu.nl,,,,email
Why,,,,
Vec,,,,unclassified
revAcc,,,,unclassified
Expr,,,,unclassified
vreverse,,,,unclassified
MExpr,,,,unclassified
DNat,,,,unclassified
makeDecTreeAcc,,,,unclassified
denv,,,,unclassified
foldl,,,,unclassified
DecTree,,,,unclassified
DVec,,,,unclassified
makeDecTree,,,,unclassified
addAcc,,,,unclassified
treeval,,,,unclassified
vappend,,,,unclassified
slowReverse,,,,unclassified
dappend,,,,unclassified
False,,,,unclassified
snoc,,,,unclassified
vzero-right,,,,unclassified
coerce-length,,,,unclassified
vzero,,,,unclassified
zero-left,,,,unclassified
zero-right,,,,unclassified
Awodey,,,,unclassified
Beylin,,,,unclassified
Danvy,,,,unclassified
Jaber,,,,unclassified
length-indexed,,,,unclassified
non-empty,,,,unclassified
non-trivial,,,,unclassified
Norell,,,,unclassified
reify-correct,,,,unclassified
revAcc-correct,,,,unclassified
Schwichtenberg,,,,unclassified
vreverse-correct,,,,unclassified
vzero-left,,,,unclassified
2(ICFP,,,,unclassified
ACM/IEEE,,,,unclassified
Agda's,,,,unclassified
Author(s,,,,unclassified
Cayley's,,,,unclassified
checking--but,,,,unclassified
checks--as,,,,unclassified
correct--but,,,,unclassified
directly--but,,,,unclassified
Donnacha,,,,unclassified
Dral,,,,unclassified
e-mail,,,,unclassified
empty--hence,,,,unclassified
endofunctions,,,,unclassified
equation--and,,,,unclassified
explicitly--or,,,,unclassified
expr}4,,,,unclassified
expr}5,,,,unclassified
expr}6,,,,unclassified
function--is,,,,unclassified
Fundamenta,,,,unclassified
github.io/blog/0010,,,,unclassified
group's,,,,unclassified
here--allowing,,,,unclassified
hold--a,,,,unclassified
https://creativecommons.org,,,,unclassified
Hughes's,,,,unclassified
indices--shows,,,,unclassified
inefficient--definition,,,,unclassified
Informaticae,,,,unclassified
introduction--that,,,,unclassified
involved--as,,,,unclassified
JFP,,,,unclassified
leftand,,,,unclassified
lengths--reify,,,,unclassified
lengths--the,,,,unclassified
Lewertowski,,,,unclassified
licenses/by/4.0,,,,unclassified
lists--are,,,,unclassified
m)--which,,,,unclassified
m+n,,,,unclassified
m--we,,,,unclassified
m=m,,,,unclassified
McBride's,,,,unclassified
McKinna,,,,unclassified
monoid--an,,,,unclassified
n)--which,,,,unclassified
naturals--we,,,,unclassified
needa,,,,unclassified
Nil}1,,,,unclassified
obligation--that,,,,unclassified
obvious--but,,,,unclassified
parametrised,,,,unclassified
Pedrot,,,,unclassified
possible--correspondingly,,,,unclassified
precomposing,,,,unclassified
previously--the,,,,unclassified
problem--monoidal,,,,unclassified
Profunctor,,,,unclassified
proof--but,,,,unclassified
proof-free,,,,unclassified
random-access,,,,unclassified
reduce--rather,,,,unclassified
rightunit,,,,unclassified
same--the,,,,unclassified
Sozeau,,,,unclassified
Tabareau,,,,unclassified
type--in,,,,unclassified
Type-and-scope,,,,unclassified
Vectors--or,,,,unclassified
Yet--as,,,,unclassified
zero--or,,,,unclassified
