Term,Pronunciation,Context / Example Usage,Notes,Tags
generic,,,,
ICFP,,,,unclassified
K ,,“K axiom”,,
M2,,,,unclassified
Agda,,Agda-style,,Common-term Programming-language
M1,,,,unclassified
constructor,,,,Common-term
Alex Hubers,,,,Author
entailment,,,,
SIGPLAN,,,,unclassified
z1,,,,unclassified
KEnv,,,,unclassified
z2,,,,unclassified
y1,,,,unclassified
y2,,,,unclassified
kinding,,,,unclassified
label-generic,,,,unclassified
functor,,,,Common-term
functional programming,,,,
p(i,,,,unclassified
syntax,,,,Common-term
duality,,,,
False,,,,unclassified
fmap,,,,unclassified
scoped,,,,Common-term
dependent,,,,Common-term
fold,,,,Common-term
Haskell,,,,Common-term programming-language
polymorphism,,,,Common-term
expression,,,,Common-term
expressiveness,,,,Common-term
reflect,,,,
algebraic effects,,,,
calculus,,Used to describe a core simple programming language,,Common-term
JKke,,,,unclassified
M3,,,,unclassified
non-commutative,,,,unclassified
POPL,,,,unclassified
1...n,,,,unclassified
mechanization,,,,
oj,,,,unclassified
rapply,,,,unclassified
reify,,,,Common-term
AST ,A.S.T.,Abstract Syntax Tree,,
Boolean,,,,
compiler,,,,Common-term
Leijen,,,,unclassified
McKinna,,,,unclassified
p(j,,,,unclassified
PEnv,,,,unclassified
Pottier,,,,
semantics,,,,
t-ana,,,,unclassified
t-E,,,,unclassified
t-I,,,,unclassified
t-syn,,,,unclassified
well-typed,,,,Common-term
abstractions,,,,
Berthomieu,,,,unclassified
CasesB,,,,unclassified
e-sing,,,,unclassified
functoriality,,,,unclassified
i3,,,,unclassified
k-lift2,,,,unclassified
modular,,,,Common-term
oi1...m,,,,unclassified
prj,,,,unclassified
reflectB,,,,unclassified
reifyB,,,,unclassified
runtime,,,,Common-term
Sagazan,,,,unclassified
Wand's,,,,unclassified
Xf,,,,unclassified
Z3,,Tool to automatically prove theorems,,Tool
combinator,,,,Common-term
Daan Leijen,,,,Author
Dunfield,,,,unclassified
i1,,,,unclassified
i2,,,,unclassified
injection,,,,
instantiation,,,,
J1,,,,unclassified
k-lift1,,,,unclassified
KH,,,,unclassified
monad,Mow-nad,,,Common-term
n-lift1,,,,unclassified
n-lift2,,,,unclassified
oi1...n,,,,unclassified
Oliveira,,,,unclassified
Plotkin,,Name,,name
polymorphic,,,,Common-term
R1,,,,unclassified
R2,,,,unclassified
Remy's,,,,unclassified
row polymorphism,,,,
Sam Lindley,,,,Author
System F,,,,Common-term
theorem,,,,Common-term
type-safe,,,,unclassified
typings,,,,unclassified
Wadler,,,,Name
Adam Chlipala,,,,Author
Chlipala,,,,unclassified
Comput,,,,unclassified
Diatchki,,,,unclassified
Dybvig,,,,unclassified
Elimination,,,,
expressive,,,,Common-term
formalization,,,,Common-term
Giuseppe Castagna,,,,Author
Hillerstrom,,,,unclassified
Hubers,,,,unclassified
J2,,,,unclassified
lsuc,,,,unclassified
McBride,,,,Name
ML,,,,Programming-language
Morrisett,,,,unclassified
n-l,,,,unclassified
n-r,,,,unclassified
quantified,,,,Common-term
Remy-style,,,,unclassified
Reppy,,,,unclassified
