Term,Pronunciation,Context / Example Usage,Notes,Tags
Naoki Kobayashi,,,,Author
Ryosuke Sato,,,,Author
Hiroyuki Katsura,,,,Author
Ranjit Jhala,,,,Author
Amal Ahmed,,,,Author
Shin-ya Katsumata,,,,Author
K ,,“K axiom”,,
higher-order,,,,Common-term
ACM,,Association for Computing Machinery,,
ICFP,,Conference,,Common-term
polymorphic,,,,Common-term
fixpoint,,,,Common-term
integer,,,,Common-term
intersection types,,,,Common-term
derivation,,,,
model checking,,Automatic theorem proving,,technique tool
refinement types,,,,
linear,,,,Common-term
reduction,,,,Common-term
semantics,,,,
lemma,,,,Common-term
inductive,,,,Common-term
theorem,,,,Common-term
induction,,,,Common-term
lattice,,,,Common-term
POPL,pop-ill,Conference,,Common-term
abstraction,,,,Common-term
expression,,,,Common-term
recursive,,,,Common-term
formalization,,,,Common-term
recursion schemes,,,,
syntactic,,,,Common-term
OCaml,,,,Common-term programming-language
SIGPLAN,,special interest group on programming languages,,
subtyping,,,,Common-term
syntax,,,,Common-term
transition system,,,,
well-formed,,,,Common-term
well-typed,,,,Common-term
modal,,,,
monotonic,,,,Common-term
succ,,,,
Zhu,,,,
calculus,,Used to describe a core simple programming language,,Common-term
call/cc,,Call with current continuation,,Common-term
clause,,,,
conclusion,,,,
CPS,C.P.S.,abbreviation for continuation-passing style ,,
de Moura,,,,
Dependent types,,,,types
exponential,,,,
IEEE,eye triple e,Institute of Electrical and Electronics Engineers,,
match,,,,
normalized,,,,Common-term
probabilistic,,,,Common-term
reduction relation,,,,
Semantic,,,,Common-term
simply-typed,,,,Common-term
SMT ,,,,
Swamy,,,,
well-formedness,,,,Common-term
Z3,,Tool to automatically prove theorems,,Tool
conjunction,,,,
context,,,,Common-term
CPU,,,,
dependent,,,,Common-term
expressive,,,,Common-term
generic,,,,
inferring,,,,
instantiation,,,,
katsura@kb.is.s.u-tokyo.ac.jp,,,,email
koba@is.s.u-tokyo.ac.jp,,,,email
meta-language,,,,
PEPM@POPL,,,,email
PLDI,,Conference,,Common-term
quantified,,,,Common-term
quantifier,,,,Common-term
recursion,,,,Common-term
rsato@is.s.u-tokyo.ac.jp,,,,email
SAT,,Type of problem,,term
scalability,,,,
SMT solver,,Type of tool for solving SMT problems,,Tool
subject reduction,,,,Common-term
Why,,,,
HoPDR,,,,unclassified
JK,,,,unclassified
PDR,,,,unclassified
PDRHFL,,,,unclassified
CHCs,,,,unclassified
Property-Directed,,,,unclassified
Bjorner,,,,unclassified
ReTHFL,,,,unclassified
Unno,,,,unclassified
MoCHi,,,,unclassified
first-order,,,,unclassified
Katsura,,,,unclassified
TRecS,,,,unclassified
Cathcart,,,,unclassified
false,,,,unclassified
IntK,,,,unclassified
CHC,,,,unclassified
Terauchi,,,,unclassified
PaHFL,,,,unclassified
recursion-free,,,,unclassified
relcomp,,,,unclassified
Asada,,,,unclassified
EraseLab,,,,unclassified
Iwayama,,,,unclassified
GFP,,,,unclassified
HoCHC,,,,unclassified
TRecS-style,,,,unclassified
Tsukada,,,,unclassified
backend,,,,unclassified
JKK,,,,unclassified
underapproximation,,,,unclassified
Viswanathan,,,,unclassified
CEGAR,,,,unclassified
Gurfinkel,,,,unclassified
HFL,,,,unclassified
higherorder,,,,unclassified
https,,,,unclassified
Lattice-Theoretic,,,,unclassified
LNCS,,,,unclassified
Tr-Conflict,,,,unclassified
ETAPS,,,,unclassified
IC3,,,,unclassified
InferConflict,,,,unclassified
Nikolaj,,,,unclassified
non-linear,,,,unclassified
non-polymorphic,,,,unclassified
Pavlinovic,,,,unclassified
RT-Top,,,,unclassified
Suenaga,,,,unclassified
Terauchi's,,,,unclassified
Tr-Decide,,,,unclassified
Tr-Valid,,,,unclassified
Amarasinghe,,,,unclassified
assert(i,,,,unclassified
Atsushi,,,,unclassified
FIV,,,,unclassified
FMCAD,,,,unclassified
Gulwani,,,,unclassified
Heizmann,,,,unclassified
Igarashi,,,,unclassified
Ishizawa,,,,unclassified
Keiichi,,,,unclassified
Knapik,,,,unclassified
Kobayashi's,,,,unclassified
Kohei,,,,unclassified
lefthand,,,,unclassified
LICS,,,,unclassified
LT-PDR,,,,unclassified
Model-Checking,,,,unclassified
Naoki,,,,unclassified
nonhigher-order,,,,unclassified
recursionfree,,,,unclassified
RS-Fun,,,,unclassified
RT-App,,,,unclassified
RT-Conj,,,,unclassified
Rybalchenko,,,,unclassified
SIGPLAN-SIGACT,,,,unclassified
SMTInterpol,,,,unclassified
subderivation,,,,unclassified
TACAS,,,,unclassified
Tachio,,,,unclassified
Tobita,,,,unclassified
Tr-Candidate,,,,unclassified
Tr-Init,,,,unclassified
Tr-Invalid,,,,unclassified
Tr-Unfold,,,,unclassified
unfoldings,,,,unclassified
VMCAI,,,,unclassified
APLAS,,,,unclassified
Aseem,,,,unclassified
Autom,,,,unclassified
Automizer,,,,unclassified
Bhargavan,,,,unclassified
Bjesse,,,,unclassified
Bjorner's,,,,unclassified
Bor-Yuh,,,,unclassified
branching-time,,,,unclassified
Bunkyo-ku,,,,unclassified
C-component,,,,unclassified
Cimatti,,,,unclassified
Computer-Aided,,,,unclassified
Cousot,,,,unclassified
Delignat-Lavaud,,,,unclassified
denotedOoften,,,,unclassified
Dietsch,,,,unclassified
else-clause,,,,unclassified
equi-expressive,,,,unclassified
Ermis,,,,unclassified
Evren,,,,unclassified
EXPTIME,,,,unclassified
FoSSaCS,,,,unclassified
Fournet,,,,unclassified
Ganesh,,,,unclassified
Giacobazzi,,,,unclassified
Gopalakrishnan,,,,unclassified
Hasuo,,,,unclassified
Hermenegildo,,,,unclassified
HFL(Z)-formula,,,,unclassified
HFLZ,,,,unclassified
Hiroki,,,,unclassified
Hoenicke,,,,unclassified
HoIce,,,,unclassified
HoPDR-based,,,,unclassified
HoPDR-procedure,,,,unclassified
Hritcu,,,,unclassified
ICE-Based,,,,unclassified
Ichiro,,,,unclassified
inference-based,,,,unclassified
interpolants,,,,unclassified
Jagannathan,,,,unclassified
Jean-Karim,,,,unclassified
Joost-Pieter,,,,unclassified
JSPS,,,,unclassified
Junges,,,,unclassified
KAKENHI,,,,unclassified
Kaminski,,,,unclassified
Karthikeyan,,,,unclassified
Katoen,,,,unclassified
Kazuyuki,,,,unclassified
Kento,,,,unclassified
Kohlweiss,,,,unclassified
Krystof,,,,unclassified
Lahiri,,,,unclassified
left-most,,,,unclassified
LFP,,,,unclassified
Lindenmann,,,,unclassified
Majumdar,,,,unclassified
Markulf,,,,unclassified
Matheja,,,,unclassified
Mayuko,,,,unclassified
MDPs,,,,unclassified
Mendonca,,,,unclassified
meta-variable,,,,unclassified
Mihaela,,,,unclassified
Mishchenko,,,,unclassified
mu-calculus,,,,unclassified
Multi-Monadic,,,,unclassified
Natsuki,,,,unclassified
Nikhil,,,,unclassified
Niklas,,,,unclassified
Nishikawa,,,,unclassified
