Term,Pronunciation,Context / Example Usage,Notes,Tags
Jeremy Yallop,,,,Author
Leo White,,,,Author
Ningning Xie,,,,Author
Olivier Nicole,,,,Author
Frank Pfenning,Frank “Fenning”,,,Author
Giuseppe Castagna,,,,Author
Matthias Felleisen,,,,Author
Meng Wang,,,,Author
Nicolas Wu,,,,Author
Simon Peyton Jones,,,,Author
Jane Street,,,,Institution
compile-time,,,,Common-term
ACM,,Association for Computing Machinery,,
macro,,,,
ref,,,,
staging,,,,
runtime,,,,Common-term
ICFP,,Conference,,Common-term
calculus,,Used to describe a core simple programming language,,Common-term
expression,,,,Common-term
context,,,,Common-term
heap,,,,
K ,,“K axiom”,,
OCaml,,,,Common-term programming-language
theorem,,,,Common-term
well-typed,,,,Common-term
composable,,,,
compiler,,,,Common-term
syntax,,,,Common-term
compiled,,,,
Id,,,,
integer,,,,Common-term
Kiselyov,,,,
lemma,,,,Common-term
derivation,,,,
Power,,,,
MetaOCaml,,,,
Racket,racket,Racket programming language,,
Template Haskell ,,,,tool
calculi,,,,
induction,,,,Common-term
type-check,,,,Common-term
well-formed,,,,Common-term
Scala,,,,Common-term programming-language
SIGPLAN,,special interest group on programming languages,,
dynamic semantics,,,,
abstraction,,,,Common-term
MetaML,,,,
closures,,,,Common-term
functional programming,,,,
modular,,,,Common-term
subtyping,,,,Common-term
syntactic,,,,Common-term
contextual,,,,Common-term
metaprogramming,,,,Common-term
modal,,,,
POPL,pop-ill,Conference,,Common-term
semantics,,,,
type-checked,,,,Common-term
binder,like in bind,,,
datatype,,,,Common-term
expressive,,,,Common-term
generic,,,,
Haskell,,,,Common-term programming-language
lambda,lam-duh,Used to refer to anonymous functions “we have a lambda function here”,theory,
Leroy,,,,Name
match,,,,
ML,,,,Programming-language
operational semantics,,,,
well-formedness,,,,Common-term
array,,,,Common-term
automata,,,,Common-term
closure,,,,Common-term
Go,,,,
IEEE,eye triple e,Institute of Electrical and Electronics Engineers,,
macro system,,,,Common-term
Moggi,,,,Name
Scheme,,,,Common-term programming-language
Tarides,,,,
Trigger,,,,
untyped,,,,
algebraic datatype,,,,Common-term
alias,,,,
applicative,,,,Common-term
beta-reduction,,,,Common-term evaluation
conclusion,,,,
constructor,,,,Common-term
continuation,,,,
CPS,C.P.S.,abbreviation for continuation-passing style ,,
Curry-Howard correspondence,,,,Common-term
dependent,,,,Common-term
erasure,,type erasure,,Common-term
Findler,,,,
fold,,,,Common-term
force,,,,Common-term evaluation
formalization,,,,Common-term
functor,,,,Common-term
GADT,Gad-it,Generalized algebraic data types,,Common-term
higher-order,,,,Common-term
immutable,,,,Common-term
jeremy.yallop@cl.cam.ac.uk,,,,email
Liang,,,,Name
lwhite@janestreet.com,,,,email
meta-programming,,,,
modalities,,,,Common-term
modality,,,,Common-term
ningningxie@cs.toronto.edu,,,,email
olivier@chnik.fr,,,,email
pattern matching,,,,
recursive,,,,Common-term
reflection,,,,Common-term
Staged Compilation with Two-Level Type Theory,,,,Title
Steele,,,,Name
System F,,,,Common-term
transition system,,,,
type checker,,,,Common-term
Type-preservation,,,,
typechecking,,,,Common-term
unification,,,,
weakening,,,,Common-term
Why,,,,
MacoCaml,,,,unclassified
mpower,,,,unclassified
JK,,,,unclassified
codeGen,,,,unclassified
JSK,,,,unclassified
expr,,,,unclassified
Flatt,,,,unclassified
c-loc,,,,unclassified
JMK,,,,unclassified
multi-stage,,,,unclassified
level-annotated,,,,unclassified
MacroML,,,,unclassified
printk,,,,unclassified
Calcagno,,,,unclassified
compiletime,,,,unclassified
fresh_err,,,,unclassified
Kameyama,,,,unclassified
MacoCaml's,,,,unclassified
printf,,,,unclassified
GPCE,,,,unclassified
pkvar,,,,unclassified
st-module,,,,unclassified
ST.id,,,,unclassified
TTH,,,,unclassified
Culpepper,,,,unclassified
endK,,,,unclassified
ill-staged,,,,unclassified
inlined,,,,unclassified
Jdef,,,,unclassified
Jimport,,,,unclassified
