Term,Pronunciation,Context / Example Usage,Notes,Tags
Jonathan Protzenko,,,,Author
Aymeric Fromherz,,,,Author
Son Ho,,,,Author
Adam Chlipala,,,,Author
Andres Erbsen,,,,Author
Derek Dreyer,,,,Author
Gilles Barthe,,,,Author
Kenji Maillard,ken-jee my-yar,,,Author
Ilya Sergey,,,,Author
Leonardo de Moura,,,,Author
Robbert Krebbers,,,,Author
Samuel Gruetter,,,,Author
INRIA,,,,Institution
GitHub,,,,Institution
Microsoft Research,,Often “MSR”,,Institution
API,A.P.I.,Application Programming Interface,,Common-term
ACM,,Association for Computing Machinery,,
ICFP,,Conference,,Common-term
generic,,,,
modularity,,,,Common-term
abstractions,,,,
K ,,“K axiom”,,
match,,,,
DSL,,,,
tactic,,,,
ghost,,,,
modular,,,,Common-term
compiler,,,,Common-term
Id,,,,
functor,,,,Common-term
higher-order,,,,Common-term
lemma,,,,Common-term
Coq,“Coq”,,,Common-term programming-language theorem-prover
OCaml,,,,Common-term programming-language
Swamy,,,,
ML,,,,Programming-language
Dependent types,,,,types
pointer,,,,Common-term
runtime,,,,Common-term
abstraction,,,,Common-term
instantiation,,,,
Lean,,,,
Protzenko,,,,
Appel,,,,
elaborator reflection,,,,
Meta-F,,,,tool
OpenSSL,,,,tool
SIGPLAN,,special interest group on programming languages,,
array,,,,Common-term
AST ,A.S.T.,Abstract Syntax Tree,,
callee,,,,Common-term
codebase,,,,Common-term
Cogent,Koe-jent?,,,
combinator,,,,Common-term
dependent,,,,Common-term
heap,,,,
Idris,,,,
IEEE,eye triple e,Institute of Electrical and Electronics Engineers,,
polymorphism,,,,Common-term
POPL,pop-ill,Conference,,Common-term
stack,,,,
context,,,,Common-term
enumeration,,,,Common-term
fold,,,,Common-term
functional programming,,,,
Go,,,,
toolchain,,,,
type-level,,,,Common-term
Ahman,,,,
CertiKOS,,“Certified Kit Operating System”,,
closures,,,,Common-term
compile-time,,,,Common-term
de Moura,,,,
decidable,,,,
erasure,,type erasure,,Common-term
Haskell,,,,Common-term programming-language
normalizer,,computations,,theory
OS,operating system,,,
protocol,,,,
semantics,,,,
SMT ,,,,
Z3,,Tool to automatically prove theorems,,Tool
Bedrock,,,,
boilerplate,,,,
Brady,,,,
compiled,,,,
concurrent,,,,Common-term
Coq's,“Coq”,,,Common-term programming-language theorem-prover
dependently-typed,,,,types
Dijkstra,,,,
embeddings,,,,
inductive,,,,Common-term
Leroy,,,,Name
meta-programming,,,,
metaprogramming,,,,Common-term
MLton,I assume “milton”,,,
monomorphization,,,,
polymorphic,,,,Common-term
ref,,,,
Rust,,,,Common-term programming-language
separation logic,,,,Common-term
Shao,,,,
SML,,,,
SMT solver,,Type of tool for solving SMT problems,,Tool
syntactic,,,,Common-term
syntax,,,,Common-term
theorem,,,,Common-term
traversal,,,,Common-term
typeclasses,,,,
well-typed,,,,Common-term
Why,,,,
algorithmic,,,,Common-term
allocations,,,,Common-term
amortized,,amortized analyses,,Common-term
calculus,,Used to describe a core simple programming language,,Common-term
composable,,,,
