Term,Pronunciation,Context / Example Usage,Notes,Tags
Meng Wang,,,,Author
Harrison Goldstein,,,,Author
Samantha Frohlich,,,,Author
Benjamin C. Pierce,,,,Author
Koen Claessen,,,,Author
Daan Leijen,,,,Author
Jessica Shi,,,,Author
Leonidas Lampropoulos,,,,Author
Nadia Polikarpova,,,,Author
Paulette Koronkevich,,,,Author
Ranjit Jhala,,,,Author
Zheng Guo,,,,Author
University of Pennsylvania,,,,Institution
University of Bristol,,,,Institution
GitHub,,,,Institution
reflect,,,,
ACM,,Association for Computing Machinery,,
monadic,Mow-nad-ick,,,
ICFP,,Conference,,Common-term
QuickCheck,,,,testing tool
Interp,,,,
monad,Mow-nad,,,Common-term
Haskell,,,,Common-term programming-language
mutation,,,,
bidirectional,,,,
distribution,,,,
constructor,,,,Common-term
fmap,,functor map common function,,Function
integer,,,,Common-term
Gen,,,,
SIGPLAN,,special interest group on programming languages,,
K ,,“K axiom”,,
Kiselyov,,,,
Power,,,,
System F,,,,Common-term
forall,,quantifier,,Common-term logic
GI,,,,
syntax,,,,Common-term
API,A.P.I.,Application Programming Interface,,Common-term
combinator,,,,Common-term
divergence,,,,Common-term
expression,,,,Common-term
freer monads,,,,
Id,,,,
IEEE,eye triple e,Institute of Electrical and Electronics Engineers,,
Ishii,,,,
lemma,,,,Common-term
probabilistic,,,,Common-term
reduction,,,,Common-term
abstractions,,,,
enumeration,,,,Common-term
enumerator,,,,Common-term
expressive,,,,Common-term
functional programming,,,,
induction,,,,Common-term
probability,,,,Common-term
Property-based testing,,,,
theorem,,,,Common-term
abstraction,,,,Common-term
context,,,,Common-term
datatype,,,,Common-term
derive,,,,
exponential,,,,
freer monad,,,,
generic,,,,
Go,,,,
match,,,,
Moggi,,,,Name
context-sensitive,,,,Common-term parsing
effectful,,,,
expressiveness,,,,Common-term
filter,,,,
free monad,free mow-nad,,,
Gibbons,,,,
Girard,,,,Name
homomorphism,,,,Common-term
modular,,,,Common-term
PL,,,,
PLDI,,Conference,,Common-term
reflection,,,,Common-term
Reynolds,,,,Name
Scheme,,,,Common-term programming-language
simply-typed lambda calculus,,,,Common-term
well-typed,,,,Common-term
algebras,,,,
applicative,,,,Common-term
AST ,A.S.T.,Abstract Syntax Tree,,
bcpierce@cis.upenn.edu,,,,email
category,,,,
compiler,,,,Common-term
composable,,,,
conclusion,,,,
definitionally,,,,theory
deriving,,,,
Dijkstra,,,,
direct style,,,,
ecosystem,,,,
fold,,,,Common-term
functor,,,,Common-term
GHC,,,,compiler tool
hgo@seas.upenn.edu,,,,email
higher-order,,,,Common-term
inductive,,,,Common-term
IO,Eye-oh,,,
isomorphic,,,,Common-term
KL,K.L.,KL abstract machine,,
lambda,lam-duh,Used to refer to anonymous functions “we have a lambda function here”,theory,
laziness,,,,
meng.wang@bristol.ac,,,,email
normalize,,computations,,theory
object-oriented,,,,Common-term paradigm
OCaml,,,,Common-term programming-language
OOPSLA,oops-la,,,Conference
pattern matching,,,,
polymorphic,,,,Common-term
producer,,,,
recursion,,,,Common-term
reified,,,,
reifies,,,,
stack,,,,
syntactic,,,,Common-term
tries,"Sometimes tries sometimes trees, I think",Prefix tree data structure,,
Trigger,,,,
Vera,,,,
Wadler,,,,Name
Why,,,,
lmap,,,,unclassified
interpR,,,,unclassified
grammar-based,,,,unclassified
profunctor,,,,unclassified
JSON,,,,unclassified
profunctors,,,,unclassified
IFH,,,,unclassified
PMPs,,,,unclassified
PartialArr,,,,unclassified
voidAnn,,,,unclassified
example-based,,,,unclassified
oneof,,,,unclassified
Xia,,,,unclassified
Biparser,,,,unclassified
MacIver,,,,unclassified
comap,,,,unclassified
context-free,,,,unclassified
dimap,,,,unclassified
expr,,,,unclassified
interpRreflect,,,,unclassified
interpRgenerate,,,,unclassified
liftM2,,,,unclassified
test-case,,,,unclassified
ghci,,,,unclassified
PMP,,,,unclassified
Soremekun,,,,unclassified
withHashcode,,,,unclassified
fuzzer,,,,unclassified
genericShrink,,,,unclassified
Godefroid,,,,unclassified
hashcode,,,,unclassified
leanBST,,,,unclassified
rmap,,,,unclassified
STLC,,,,unclassified
BSTs,,,,unclassified
Fioraldi,,,,unclassified
GetSize,,,,unclassified
Hypothesis's,,,,unclassified
LeanCheck,,,,unclassified
Mul,,,,unclassified
shortlex,,,,unclassified
suchThat,,,,unclassified
user-provided,,,,unclassified
bitstring,,,,unclassified
Braquehais,,,,unclassified
ChooseInteger,,,,unclassified
domain-specific,,,,unclassified
fuzzers,,,,unclassified
genWithWeights,,,,unclassified
HCI,,,,unclassified
HypoFuzz,,,,unclassified
Hypothesis-style,,,,unclassified
IH,,,,unclassified
IHR,,,,unclassified
Jensen-Shannon,,,,unclassified
JrKR,,,,unclassified
PartialProf,,,,unclassified
sub-generator,,,,unclassified
Zalewski,,,,unclassified
analyzeWeights,,,,unclassified
Aschermann,,,,unclassified
bitstrings,,,,unclassified
Chasins,,,,unclassified
cibior,,,,unclassified
Claessen,,,,unclassified
devDependencies,,,,unclassified
Duregard,,,,unclassified
Grammar-Aware,,,,unclassified
Haskell's,,,,unclassified
https,,,,unclassified
IEEE/ACM,,,,unclassified
Kmett,,,,unclassified
Kullback,,,,unclassified
lbls,,,,unclassified
Leibler,,,,unclassified
Magalhaes,,,,unclassified
maybeToList,,,,unclassified
Micha,,,,unclassified
optimisticTypeOf,,,,unclassified
Paka,,,,unclassified
Paraskevopoulou,,,,unclassified
Peleg,,,,unclassified
probabilityOf,,,,unclassified
QuickCheck's,,,,unclassified
rKR,,,,unclassified
Runciman,,,,unclassified
side-effects,,,,unclassified
Smallcheck,,,,unclassified
SmartCheck,,,,unclassified
snd,,,,unclassified
Srivastava,,,,unclassified
sub-generators,,,,unclassified
sub-space,,,,unclassified
swapBits,,,,unclassified
tagless-final,,,,unclassified
Trnkova,,,,unclassified
typeOf,,,,unclassified
un-invertible,,,,unclassified
Veggalam,,,,unclassified
Zeller,,,,unclassified
zeroDraws,,,,unclassified
Ahmad-Reza,,,,unclassified
artifact2,,,,unclassified
Askoxylakis,,,,unclassified
AspectOriented,,,,unclassified
