Term,Pronunciation,Context / Example Usage,Notes,Tags
Conal Elliott,,,,Author
Frank Pfenning,Frank “Fenning”,,,Author
Graham Hutton,,,,Author
Wouter Swierstra,,,,Author
category,,,,
linear,,,,Common-term
ACM,,Association for Computing Machinery,,
ICFP,,Conference,,Common-term
Boolean,,,,
discrete,,,,
functor,,,,Common-term
semiring,,,,
morphism,,,,Common-term
K ,,“K axiom”,,
Agda,,Agda-style,,Common-term Programming-language
Id,,,,
functional programming,,,,
sequential ,,,,
algebra,,,,
constructor,,,,Common-term
homomorphism,,,,Common-term
monoidal,,,,Common-term
Semantic,,,,Common-term
semantics,,,,
abstraction,,,,Common-term
Haskell,,,,Common-term programming-language
IMP,Like the little demon “imp”,A simple “imperative” programming language,,
refinement types,,,,
Dependent types,,,,types
SIGPLAN,,special interest group on programming languages,,
universe,,dependent types,,theory
abstractions,,,,
Capretta,,,,
categorical semantics,,,,
compiled,,,,
conclusion,,,,
decomposition,,,,
dependent,,,,Common-term
Dijkstra,,,,
generic,,,,
Gibbons,,,,
inductive,,,,Common-term
paradigm,,,,Common-term
Power,,,,
quantified,,,,Common-term
recursion,,,,Common-term
reflexivity,,,,Common-term
relational,,,,
syntactic,,,,Common-term
Wadler,,,,Name
Why,,,,
compiler,,,,Common-term
composable,,,,
conal@conal.net,,,,email
concurrency,,,,Common-term
congruence,,,,Common-term
context,,,,Common-term
curried,,,,
Deadlock,,,,
decidable,,,,
Dybjer,,,,
embeddings,,,,
extensionally,,,,
IEEE,eye triple e,Institute of Electrical and Electronics Engineers,,
instance inference,,,,
iterations,,,,
lambda calculi,,,,Common-term
lambda-calculus,,,,Common-term
match,,,,
metalanguage,,,,
ML,,,,Programming-language
modular,,,,Common-term
multiplicative,,,,
nondeterminism,,,,
quantifier,,,,Common-term
recursive,,,,Common-term
scalability,,,,
symbolic,,,,
theorem,,,,Common-term
Turing,,,,
type-checker,,,,Common-term
type-level,,,,Common-term
false,,,,unclassified
exl,,,,unclassified
semimodule,,,,unclassified
compositionality,,,,unclassified
infixl,,,,unclassified
Op2,,,,unclassified
two-input,,,,unclassified
functoriality,,,,unclassified
max-plus,,,,unclassified
semimodules,,,,unclassified
semirings,,,,unclassified
stable2,,,,unclassified
analog2,,,,unclassified
Ghica,,,,unclassified
infixr,,,,unclassified
multi-signals,,,,unclassified
Oliveira,,,,unclassified
stable0,,,,unclassified
Zero-input,,,,unclassified
analog0,,,,unclassified
analog1,,,,unclassified
Cocartesian,,,,unclassified
data-independent,,,,unclassified
higher-dimensional,,,,unclassified
Jaskelioff,,,,unclassified
min-plus,,,,unclassified
multi-bit,,,,unclassified
Norell,,,,unclassified
One-input,,,,unclassified
stable1,,,,unclassified
Achim,,,,unclassified
biproduct,,,,unclassified
Daeche,,,,unclassified
Gell-Mann,,,,unclassified
Golan,,,,unclassified
Leiserson,,,,unclassified
Lovas,,,,unclassified
Macedo,,,,unclassified
Minkowski,,,,unclassified
MinPlus,,,,unclassified
multi-dimensional,,,,unclassified
multi-interval,,,,unclassified
Nonstrict,,,,unclassified
Pfenning,,,,unclassified
stability-preserving,,,,unclassified
tensoring,,,,unclassified
Ulf,,,,unclassified
Zhai,,,,unclassified
Agda's,,,,unclassified
Algorithmica,,,,unclassified
Aliaume,,,,unclassified
Beidar,,,,unclassified
bi)productaggregated,,,,unclassified
biproduct-oriented,,,,unclassified
Biproducts,,,,unclassified
carry-out,,,,unclassified
CD-ROM,,,,unclassified
circuit-specific,,,,unclassified
Coalgebraic,,,,unclassified
CODES+ISSS,,,,unclassified
Commun,,,,unclassified
Computer-Aided,,,,unclassified
computing's,,,,unclassified
concrete-to-abstract,,,,unclassified
cong2,,,,unclassified
constant-derivative,,,,unclassified
constant-zero,,,,unclassified
constraint-respecting,,,,unclassified
continuous-to-discrete,,,,unclassified
coproducts,,,,unclassified
data-dependent,,,,unclassified
domainindependent,,,,unclassified
EACSL,,,,unclassified
Edsger,,,,unclassified
exclusive-or,,,,unclassified
FMCAD,,,,unclassified
full-analog,,,,unclassified
function-valued,,,,unclassified
hardware-oriented,,,,unclassified
Hardware/Software,,,,unclassified
Hathhorn,,,,unclassified
Heisenbugs,,,,unclassified
homomorphically,,,,unclassified
input-dependent,,,,unclassified
input-independent,,,,unclassified
JUCS,,,,unclassified
Kostia,,,,unclassified
Kuangya,,,,unclassified
Lairmore,,,,unclassified
Launchbury,,,,unclassified
machine-checked,,,,unclassified
MaxPlus,,,,unclassified
Michela,,,,unclassified
MuFP,,,,unclassified
mulated,,,,unclassified
multi-signals,,,,unclassified
multi-timing,,,,unclassified
multi-intervals,,,,unclassified
multiinterval,,,,unclassified
non-compositional,,,,unclassified
non-hyperstrict,,,,unclassified
non-semantic,,,,unclassified
non-singleton,,,,unclassified
Nuno,,,,unclassified
obj1,,,,unclassified
obj2,,,,unclassified
object-indexed,,,,unclassified
one-bit,,,,unclassified
Pi-Ware,,,,unclassified
pin-to-pin,,,,unclassified
Pizani,,,,unclassified
plugin,,,,unclassified
point-free,,,,unclassified
postmaturely,,,,unclassified
pragmas,,,,unclassified
pre-composed,,,,unclassified
program4,,,,unclassified
proof-checked,,,,unclassified
scalar-to-scalar,,,,unclassified
semi-analog,,,,unclassified
shaped/typed,,,,unclassified
SIGPLAN/SIGBED,,,,unclassified
Sijsling,,,,unclassified
Springer-Verlag,,,,unclassified
stable-signal,,,,unclassified
stream-based,,,,unclassified
suc,,,,unclassified
syntax-colored,,,,unclassified
TII,,,,unclassified
time-varying,,,,unclassified
TLCA,,,,unclassified
type-setting,,,,unclassified
uni-signals,,,,unclassified
value-and-timing,,,,unclassified
Venanzio,,,,unclassified
without-K,,,,unclassified
