Term,Pronunciation,Context / Example Usage,Notes,Tags
Léon Gondelman,,,,Author
Lars Birkedal,,,,Author
Amin Timany,,,,Author
Mário Pereira,,,,Author
Jonas Kastberg Hinrichsen,,,,Author
Derek Dreyer,,,,Author
Robbert Krebbers,,,,Author
Ralf Jung,,,,Author
Joseph Tassarotti,,,,Author
Yao Li,,,,Author
Adam Chlipala,,,,Author
Ilya Sergey,,,,Author
Matthias Felleisen,,,,Author
Ranjit Jhala,,,,Author
Simon Spies,,,,Author
Aarhus University,,,,Institution
protocol,,,,
dependent,,,,Common-term
ACM,,Association for Computing Machinery,,
ICFP,,Conference,,Common-term
separation logic,,,,Common-term
ghost,,,,
API,A.P.I.,Application Programming Interface,,Common-term
endpoint,,,,
Iris,,,,theorem-proving tool
modular,,,,Common-term
Coq,“Coq”,,,Common-term programming-language theorem-prover
Id,,,,
modality,,,,Common-term
optional,,,,
concurrency,,,,Common-term
concurrent,,,,Common-term
higher-order,,,,Common-term
instantiation,,,,
semantics,,,,
theorem,,,,Common-term
conjunction,,,,
context,,,,Common-term
OCaml,,,,Common-term programming-language
operational semantics,,,,
POPL,pop-ill,Conference,,Common-term
algebra,,,,
formalization,,,,Common-term
heap,,,,
Prop,,,,
SIGPLAN,,special interest group on programming languages,,
bidirectional,,,,
compiler,,,,Common-term
consistency,,Gradual typing,,theory
Hinrichsen,,,,
Hoare,Like “horse”,,,Name
K ,,“K axiom”,,
modularity,,,,Common-term
recursive,,,,Common-term
session types,,,,
Abel,,,,Name
Isabelle,,,,
quantified,,,,Common-term
reflect,,,,
abstraction,,,,Common-term
algebras,,,,
atomicity,,,,Common-term
duality,,,,
expressive,,,,Common-term
Go,,,,
Honda,,,,
match,,,,
Meta-level,,,,Common-term
monotonic,,,,Common-term
polymorphic,,,,Common-term
toolchain,,,,
Xi,,,,
atomic,,,,
binder,like in bind,,,
birkedal@cs.au.dk,,,,email
deadlock freedom,,,,
delegation,,,,
derive,,,,
deriving,,,,
distribution,,,,
expression,,,,Common-term
functional programming,,,,
Gay ,,,,Name
generic,,,,
gondelman@cs.au.dk,,,,email
Higher-order ghost state,,,,
hinrichsen@cs.au.dk,,,,email
Hoare logic,,,,Common-term
induction,,,,Common-term
mechanization,,,,
memoization,,,,
mjp.pereira@fct.unl.pt,,,,email
modalities,,,,Common-term
model checking,,Automatic theorem proving,,technique tool
namespace,,,,Common-term
namespaces,,,,Common-term
object-oriented,,,,Common-term paradigm
OOPSLA,oops-la,,,Conference
Peyton Jones,,,,Name
PLDI,,Conference,,Common-term
Pol,,Subcategory of Meas whose objects are Borel spaces,,
Pottier,,,,
Power,,,,
recursion,,,,Common-term
refinements,,,,
register,,,,
Rust,,,,Common-term programming-language
Semantic,,,,Common-term
sequential ,,,,
session typed,,,,
shared-memory,,,,
stack,,,,
subtyping,,,,Common-term
symbolic,,,,
tactic,,,,
timany@cs.au.dk,,,,email
type-checked,,,,Common-term
VST,,Verified Software Toolchain,,theorem-proving tool
Why,,,,
Aneris,,,,unclassified
srv,,,,unclassified
RCLib,,,,unclassified
kvs,,,,unclassified
Actris,,,,unclassified
Gondelman,,,,unclassified
sbuf,,,,unclassified
rbuf,,,,unclassified
serializer,,,,unclassified
leader-followers,,,,unclassified
SrvInit,,,,unclassified
recv,,,,unclassified
AnerisLang,,,,unclassified
client-server,,,,unclassified
key-value,,,,unclassified
laters,,,,unclassified
points-to,,,,unclassified
rpc_prot,,,,unclassified
saddr,,,,unclassified
subprotocol,,,,unclassified
CanConnect,,,,unclassified
leader-only,,,,unclassified
serializers,,,,unclassified
clt,,,,unclassified
Krogh-Jespersen,,,,unclassified
Nieto,,,,unclassified
RC_Resources,,,,unclassified
rpc_make_request,,,,unclassified
server_skt,,,,unclassified
we.value,,,,unclassified
accept_loop,,,,unclassified
Aneris's,,,,unclassified
CanListen,,,,unclassified
GlobalInv,,,,unclassified
Ht-listen,,,,unclassified
