Term,Pronunciation,Context / Example Usage,Notes,Tags
pattern matching,,,,
pointer,,,,Common-term
ICFP,,,,unclassified
Word64,,,,unclassified
Bit-Stealing,,,,unclassified
LLVM,L.L.V.M.,,,
subterm,,,,unclassified
integer,,,,Common-term
ribbit,,,,unclassified
OCaml,,,,Common-term programming-language
Rust,,,,Common-term programming-language
Gabriel Radanne,,,,Author
Laure Gonnord,,,,Author
Baudon,,,,unclassified
pat2mem,,,,unclassified
b0,,,,unclassified
Word63,,,,unclassified
b-1,,,,unclassified
Id,,,,
subterms,,,,unclassified
Word128,,,,unclassified
constructor,,,,Common-term
ty2val,,,,unclassified
matching,,“pattern matching”,,Common-term
val2mem,,,,unclassified
64-bit,,,,unclassified
ADTs,,,,unclassified
Maranget,,,,
match,,,,
Ptr,,,,unclassified
T0,,,,unclassified
bitword,,,,unclassified
"Ptr64,1",,,,unclassified
recursive,,,,Common-term
Word32,,,,unclassified
Zarith,,,,unclassified
functional programming,,,,
coherence,,,,
i64,,,,unclassified
Linux,,,,unclassified
T-1,,,,unclassified
"weaveb,id",,,,unclassified
cons,kon-ss,,,
K ,,“K axiom”,,
provs,,,,unclassified
structs,,,,unclassified
ty2pat,,,,unclassified
array,,,,Common-term
b2,,,,unclassified
IR ,I.R.,intermediate representation,,
scaffoldb,,,,unclassified
32-bit,,,,unclassified
b1,,,,unclassified
compiler,,,,Common-term
Haskell,,,,Common-term programming-language
Int32,,,,unclassified
jsval,,,,unclassified
RBTs,,,,unclassified
Switch(b,,,,unclassified
double-precision,,,,unclassified
inlining,,,,unclassified
Leroy,,,,Name
ML,,,,Programming-language
NaN-boxing,,,,unclassified
nil,,,,
polymorphic,,,,Common-term
prov0,,,,unclassified
Int8,,,,unclassified
prov1,,,,unclassified
Ptr64,,,,unclassified
Scheme,,,,Common-term programming-language
semantics,,,,
sequentialization,,,,unclassified
Small(Int63,,,,unclassified
Word8,,,,unclassified
b2small,,,,unclassified
bitwords,,,,unclassified
bLarge,,,,unclassified
bSmall,,,,unclassified
Burstall,,,,unclassified
CNRS,,Centre national de la recherche scientifique ,,Institution
discriminants,,,,unclassified
DSL,,,,
EnsL,,,,unclassified
enum,,,,unclassified
expression,,,,Common-term
expressive,,,,Common-term
formalization,,,,Common-term
GADTs,,,,unclassified
induction,,,,Common-term
INRIA,,,,Institution
Int64,,,,unclassified
Large(Int128,,,,unclassified
lower-level,,,,unclassified
monomorphic,,,,
pattern-matching,,,,unclassified
Peyton Jones,,,,Name
scaffold.0,,,,unclassified
Sestoft,,,,unclassified
SIGPLAN,,,,unclassified
stack,,,,
Tchild,,,,unclassified
Tparent,,,,unclassified
UCBL,,,,unclassified
WebKit,,,,unclassified
wildcards,,,,unclassified
Word24,,,,unclassified
0x0000,,,,unclassified
0x2,,,,unclassified
0x6,,,,unclassified
0x7,,,,unclassified
0xa,,,,unclassified
2small,,,,unclassified
algebra,,,,
B.1,,,,unclassified
BindVars,,,,unclassified
cast,,Gradual typing,,theory
Cons.0,,,,unclassified
context,,,,Common-term
False,,,,unclassified
https://doi.org/10,,,,unclassified
i.Small,,,,unclassified
i63,,,,unclassified
immutable,,,,Common-term
Int63,,,,unclassified
