Term,Pronunciation,Context / Example Usage,Notes,Tags
in-place,,,,unclassified
K ,,“K axiom”,,
match,,,,
calculus,,Used to describe a core simple programming language,,Common-term
heap,,,,
functional programming,,,,
semantics,,,,
ICFP,,,,unclassified
linear,,,,Common-term
stack,,,,
constructor,,,,Common-term
Daan Leijen,,,,Author
recursive,,,,Common-term
context,,,,Common-term
Anton Lorenzen,,,,Author
dropru,,,,unclassified
e1,,,,unclassified
e2,,,,unclassified
expression,,,,Common-term
Wouter Swierstra,,,,Author
FBIP,,,,unclassified
H2,,,,unclassified
H1,,,,unclassified
FP2,,,,unclassified
operational semantics,,,,
cons,kon-ss,,,
Koka,,,,Programming-language
x1,,,,unclassified
ctx,,,,unclassified
list<a,,,,unclassified
e0,,,,unclassified
Leijen,,,,unclassified
syntax,,,,Common-term
xk,,,,unclassified
alloc,,,,unclassified
lambda,lam-duh,Used to refer to anonymous functions “we have a lambda function here”,theory,
Lorenzen,,,,unclassified
Perceus,,,,unclassified
runtime,,,,Common-term
tail-recursive,,,,
defunctionalized,,,,unclassified
theorem,,,,Common-term
tmap,,,,unclassified
closure,,,,Common-term
Pi, pie,dependent types,,theory
separation logic,,,,Common-term
"tree<k,v",,,,unclassified
datatype,,,,Common-term
Kz,,,,unclassified
Aspinall,,,,unclassified
recursion,,,,Common-term
szipper,,,,unclassified
traversal,,,,Common-term
tree<a,,,,unclassified
v1,,,,unclassified
closures,,,,Common-term
derive,,,,
linear resource calculus,,,,
nil,,,,
reduction,,,,Common-term
reverse-acc,,,,unclassified
Schorr-Waite,,,,unclassified
SIGPLAN,,,,unclassified
BinL,,,,unclassified
Cik,,,,unclassified
de Moura,,,,
garbage collection,,GC,,Common-term
TRMReC,,,,unclassified
"tzipper<a,b",,,,unclassified
vk,,,,unclassified
Xi,,,,
2000a,,,,unclassified
2000b,,,,unclassified
"accum<k,v",,,,unclassified
allocations,,,,Common-term
BinR,,,,unclassified
c/c,,,,unclassified
compiled,,,,
compiler,,,,Common-term
Cormen,,,,unclassified
CPS,C.P.S.,abbreviation for continuation-passing style ,,
de)allocation,,,,unclassified
derivation,,,,
dmatch,,,,unclassified
doi:https://doi.org/10,,,,unclassified
NodeL,,,,unclassified
S1,,,,unclassified
Schulte,,,,unclassified
second-order,,,,unclassified
seq<a,,,,unclassified
smap,,,,unclassified
std-reuse,,,,unclassified
tree<b,,,,unclassified
Ullrich,,,,unclassified
app(y,,,,unclassified
Cons(pivot,,,,unclassified
datastructure,,,,unclassified
dconruh,,,,unclassified
derivative,,,,
dom(H,,,,unclassified
dom(S,,,,unclassified
dropruh,,,,unclassified
e[x:=v,,,,unclassified
False,,,,unclassified
garbage-free ,,,,
Go,,,,
Grieskamp,,,,unclassified
Hudak,,,,Name
inductive,,,,Common-term
Jost,,,,unclassified
list2,,,,unclassified
McBride,,,,Name
n+1,,,,unclassified
n1,,,,unclassified
n2,,,,unclassified
"Node(l,x,r",,,,unclassified
Okasaki,,,,unclassified
One(y,,,,unclassified
Reynolds,,,,Name
rng(H,,,,unclassified
rng(S,,,,unclassified
S2,,,,unclassified
Schorr,,,,unclassified
Sleator,,,,unclassified
Tarjan,,,,unclassified
Why,,,,
y1,,,,unclassified
Z1,,,,unclassified
zlookup,,,,unclassified
Barendsen,,,,unclassified
"Bin(l,r",,,,unclassified
bmatch,,,,unclassified
Claessen,,,,unclassified
combinator,,,,Common-term
"Cons(x,acc",,,,unclassified
"Cons(x,xx",,,,unclassified
continuation,,,,
Danvy,,,,unclassified
datastructures,,,,unclassified
doi:https,,,,unclassified
droph,,,,unclassified
E[e,,,,unclassified
ectx,,,,unclassified
first-order,,,,unclassified
fn(r,,,,unclassified
Frame-limited,,,,Common-term
fv(e0,,,,unclassified
generic,,,,
H3,,,,unclassified
Haskell,,,,Common-term programming-language
Hofmann's,,,,unclassified
Huet,,,,unclassified
in-order,,,,unclassified
list2<a,,,,unclassified
macro,,,,
map(f,,,,unclassified
Microsoft Research,,Often “MSR”,,Institution
mimalloc,,,,unclassified
mutation,,,,
Node(c,,,,unclassified
NodeR,,,,unclassified
partition<a,,,,unclassified
Paterson,,,,
POPL,,,,unclassified
Pottier,,,,
quicksort,,Common sorting algorithm,,Common-term algorithm sorting
rbtree,,,,unclassified
reuse analysis,,,,
S3,,,,unclassified
side-condition,,,,unclassified
Smetsers,,,,unclassified
split(pivot,,,,unclassified
syntactic,,,,Common-term
tctx,,,,unclassified
v2.4.2,,,,unclassified
well-formedness,,,,unclassified
zig-zag,,,,unclassified
13th,,,,unclassified
1994a,,,,unclassified
1994b,,,,unclassified
2023a,,,,unclassified
2023b,,,,unclassified
algebraic datatype,,,,Common-term
amortized,,amortized analyses,,Common-term
apph,,,,unclassified
applicative,,,,Common-term
axiom,,,,
bapp,,,,unclassified
BCons(b,,,,unclassified
Bird ,,,,
Bloss,,,,unclassified
bmatchs,,,,unclassified
Boolean,,,,
Brus,,,,unclassified
Bruynooghe,,,,unclassified
cons(Pair(z,,,,unclassified
cons(x,,,,unclassified
"Cons@ru(x,acc",,,,email
CPS-transformation,,,,unclassified
CPS-translation,,,,unclassified
dcons,,,,unclassified
deriving,,,,
Didrich,,,,unclassified
dlamh,,,,unclassified
dmatchh,,,,unclassified
dmatchs,,,,unclassified
doi:https://doi,,,,unclassified
dom(H1,,,,unclassified
dom(H2,,,,unclassified
dup(x,,,,unclassified
duph,,,,unclassified
equational,,,,Common-term
fbip(n,,,,unclassified
fip(n,,,,unclassified
Flanagan,,,,
fn(l,,,,unclassified
formalization,,,,Common-term
ftree,,,,unclassified
fv(v,,,,unclassified
fv(x,,,,unclassified
garbage-collected,,,,
Gibbons,,,,
H]x,,,,unclassified
Hindley,,,,unclassified
Huet's,,,,unclassified
IFL,,,,unclassified
induction,,,,Common-term
is-node,,,,unclassified
is-red(y,,,,unclassified
k(Bin(l,,,,unclassified
"k(Bin(l',r",,,,unclassified
k1,,,,unclassified
Laarhoven,,,,unclassified
lamh,,,,unclassified
Launchbury,,,,unclassified
Leonardo de Moura,,,,Author
linear types,,,,Common-term
Madiot,,,,unclassified
matching,,“pattern matching”,,Common-term
Meertens,,,,unclassified
Moine,,,,unclassified
More(One(x,,,,unclassified
More(Pair(x,,,,unclassified
More(Three,,,,unclassified
More(Two(x,,,,unclassified
More0(x,,,,unclassified
Morrisett,,,,unclassified
msort,,,,unclassified
multi-set,,,,unclassified
multiset,,,,unclassified
n3,,,,unclassified
"Node(l,y,r",,,,unclassified
"NodeL(Black,zppp,zppk,zppv,y",,,,unclassified
NodeL(c,,,,unclassified
NodeR(c,,,,unclassified
non-unique,,,,unclassified
Olivier Danvy,,,,researcher
Peyton Jones,,,,Name
Plasmeijer,,,,unclassified
pointer,,,,Common-term
pointer-reversal,,,,unclassified
qsort,,,,unclassified
quicksort'(lo,,,,unclassified
rebuild(z1,,,,unclassified
refcounts,,,,unclassified
roots(H2,,,,unclassified
