Term,Pronunciation,Context / Example Usage,Notes,Tags
Matthias Felleisen,,,,Author
Ben Greenman,,,,Author
Christos Dimoulas,,,,Author
Lukas Lazarek,,,,Author
Ranjit Jhala,,,,Author
Shriram Krishnamurthi,,,,Author
Paulette Koronkevich,,,,Author
Peter Thiemann,,,,Author
Ronald Garcia,,,,Author
Northeastern University,,,,Institution
Brown University,,,,Institution
Carnegie Mellon University,,CMU,,Institution
semantics,,,,
untyped,,,,
erasure,,type erasure,,Common-term
ICFP,,,,Common-term
gradual types,,,,
Racket,racket,Racket programming language,,
Felleisen,,,,
context,,,,Common-term
lattice,,,,Common-term
mutation,,,,
integer,,,,Common-term
stack,,,,
Findler,,,,
JavaScript,,,,Common-term programming-language
type checker,,,,Common-term
AST ,A.S.T.,Abstract Syntax Tree,,
Go,,,,
match,,,,
category,,,,
Id,,,,
Java,,,,
runtime,,,,Common-term
syntax,,,,Common-term
Wadler,,,,Name
filter,,,,
IO,Eye-oh,,,
ML,,,,Programming-language
Siek ,,,,
TE,,Traffic engineering,,
array,,,,Common-term
calculus,,Used to describe a core simple programming language,,Common-term
compiler,,,,Common-term
distribution,,,,
gradually typed language,,,,
hash table,,,,
syntactic,,,,Common-term
benjaminlgreenman@gmail,,,,email
cast,,Gradual typing,,theory
chrdimo@northwestern.edu,,,,email
closure,,,,Common-term
constructor,,,,Common-term
decidable,,,,
dependent,,,,Common-term
derivative,,,,
Elimination,,,,
generic,,,,
higher-order,,,,Common-term
Hindley-Milner,,,,
injection,,,,
Jim,,,,
lukas.lazarek@eecs,,,,email
matthias@ccs.neu.edu,,,,email
modularity,,,,Common-term
optional,,,,
PL,,,,
Power,,,,
protocol,,,,
refinements,,,,
reflect,,,,
Scheme,,,,Common-term programming-language
synthetic,,,,
theorem,,,,Common-term
well-typed,,,,Common-term
run-time,,,,unclassified
Lazarek,,,,unclassified
stacktrace,,,,unclassified
mutators,,,,unclassified
Dimoulas,,,,unclassified
GTP,,,,unclassified
ccoo,,,,unclassified
TTrr,,,,unclassified
PACMPL,,,,unclassified
json-unpack,,,,unclassified
OOPSLA,,,,unclassified
POPL,,,,unclassified
bbaa,,,,unclassified
json-unpack-lib,,,,unclassified
ssee,,,,unclassified
client/main,,,,unclassified
llaa,,,,unclassified
Tobin-Hochstadt,,,,unclassified
tio,,,,unclassified
aass,,,,unclassified
Moller,,,,unclassified
nntt,,,,unclassified
rational-programmer,,,,unclassified
client/summarize,,,,unclassified
eerr,,,,unclassified
json-unpack-interface,,,,unclassified
ssii,,,,unclassified
summarize-ages,,,,unclassified
typed/racket,,,,unclassified
uurr,,,,unclassified
yypp,,,,unclassified
ay-s,,,,unclassified
eenn,,,,unclassified
Hanenberg,,,,unclassified
Hoeflich,,,,unclassified
https,,,,unclassified
Listof,,,,unclassified
ppoo,,,,unclassified
tfi,,,,unclassified
uen,,,,unclassified
user-data,,,,unclassified
aapp,,,,unclassified
eedd,,,,unclassified
eeff,,,,unclassified
ill-typed,,,,unclassified
Kristensen,,,,unclassified
mode's,,,,unclassified
nnss,,,,unclassified
ssiittee,,,,unclassified
St-Amour,,,,unclassified
structs,,,,unclassified
Vitousek,,,,unclassified
aatt,,,,unclassified
array-struct,,,,unclassified
base->Any,,,,unclassified
Campora,,,,unclassified
client-interface-library,,,,unclassified
composite->Any,,,,unclassified
config,,,,unclassified
DefinitelyTyped,,,,unclassified
eepp,,,,unclassified
Flatt,,,,unclassified
iittee,,,,unclassified
multiblame,,,,unclassified
nn,,,,unclassified
ppooss,,,,unclassified
require/typed/provide,,,,unclassified
Takikawa,,,,unclassified
Transient's,,,,unclassified
ttdd,,,,unclassified
ttiioo,,,,unclassified
al.'s,,,,unclassified
apples-to-apples,,,,unclassified
arg-swap,,,,unclassified
Asumu,,,,unclassified
bbll,,,,unclassified
ccll,,,,unclassified
cctt,,,,unclassified
class-swap,,,,unclassified
client-side,,,,unclassified
Cristiani,,,,unclassified
Erwig,,,,unclassified
exceptionNatural,,,,unclassified
Feldthaus,,,,unclassified
hash-ref,,,,unclassified
Igarashi,,,,unclassified
JSExpr,,,,unclassified
JSON,,,,unclassified
json-object->assoc,,,,unclassified
Natural's,,,,unclassified
nnee,,,,unclassified
nnssiieenn,,,,unclassified
oonn,,,,unclassified
pre-fabricated,,,,unclassified
result-swap,,,,unclassified
ssss,,,,unclassified
struct-swap,,,,unclassified
sub-lattice,,,,unclassified
Transient-first,,,,unclassified
Transient-last-blame,,,,unclassified
ttaa,,,,unclassified
user-info,,,,unclassified
uucc,,,,unclassified
wrapped-f,,,,unclassified
a-json,,,,unclassified
aall,,,,unclassified
any/c,,,,unclassified
Atsushi,,,,unclassified
Avik,,,,unclassified
Boulay,,,,unclassified
char->integer,,,,unclassified
Chasins,,,,unclassified
Chaudhuri,,,,unclassified
Cimini,,,,unclassified
crowd-sourced,,,,unclassified
ddee,,,,unclassified
DeMillo,,,,unclassified
ECOOP,,,,unclassified
eeddee,,,,unclassified
eexx,,,,unclassified
exceptionTransient,,,,unclassified
Feltey,,,,unclassified
first-blame,,,,unclassified
flfl,,,,unclassified
fully-typed,,,,unclassified
HashTable,,,,unclassified
Henrich,,,,unclassified
Holzle,,,,unclassified
iinn,,,,unclassified
iioo,,,,unclassified
json-unpack's,,,,unclassified
kcfa,,,,unclassified
last-blame,,,,unclassified
Matzel,,,,unclassified
Microsoft,,,,unclassified
Migeed,,,,unclassified
Miyazaki,,,,unclassified
