Term,Pronunciation,Context / Example Usage,Notes,Tags
recursive,,,,Common-term
induction,,,,Common-term
tail-recursive,,,,
lemma,,,,Common-term
Xi,,,,
theorem,,,,Common-term
derivation,,,,
K ,,“K axiom”,,
nil,,,,
FP,,functional programming,,
Id,,,,
recursion,,,,Common-term
atomic,,,,
semantics,,,,
Turing,,,,
decomposition,,,,
linear,,,,Common-term
Boolean,,,,
dependent,,,,Common-term
exponential,,,,
expression,,,,Common-term
higher-order,,,,Common-term
syntactic,,,,Common-term
ACM,,Association for Computing Machinery,,
cons,kon-ss,,,
injection,,,,
paradigm,,,,Common-term
well-formed,,,,Common-term
conclusion,,,,
context,,,,Common-term
expressive,,,,Common-term
Non-determinism,,,,Common-term
Power,,,,
syntax,,,,Common-term
axioms,,,,
clause,,,,
constructor,,,,Common-term
Dependent types,,,,types
extensional,,functions,,theory
inductive,,,,Common-term
probabilistic,,,,Common-term
algebras,,,,
axiom,,,,
Carvalho,,,,
Girard,,,,Name
recurrence,,,,
automata,,,,Common-term
Barthe,,,,
bhask2sk@jmu.edu,,,,email
binding variables,,,,
Call-by-Value,,(CBV),,Common-term evaluation
category,,,,
decidable,,,,
distribution,,,,
functional programming,,,,
Go,,,,
IEEE,eye triple e,Institute of Electrical and Electronics Engineers,,
integer,,,,Common-term
lambda calculi,,,,Common-term
monotone,,,,Common-term
monotonicity,,Mathematical property,,Common-term
n-ary,,,,
precision,,Gradual typing,,theory
relational,,,,
sequential ,,,,
simonsen@di.ku.dk,,,,email
stack,,,,
Turing complete,,,,Common-term
VPT/HCVS@ETAPS,,,,email
well-typed,,,,Common-term
bit-length,,,,unclassified
cons-free,,,,unclassified
RW-factorizable,,,,unclassified
g(x,,,,unclassified
xf,,,,unclassified
polynomially,,,,unclassified
Bhaskar,,,,unclassified
Read/write,,,,unclassified
factorizable,,,,unclassified
false,,,,unclassified
f(T,,,,unclassified
polynomial-time,,,,unclassified
null(x,,,,unclassified
non-nested,,,,unclassified
write-only,,,,unclassified
collision-free,,,,unclassified
f(x,,,,unclassified
Comput,,,,unclassified
qg,,,,unclassified
x-environment,,,,unclassified
xg,,,,unclassified
cat(x,,,,unclassified
f(xf,,,,unclassified
I(x,,,,unclassified
null(S,,,,unclassified
RW-term,,,,unclassified
bitlength,,,,unclassified
catb,,,,unclassified
evt,,,,unclassified
Lago,,,,unclassified
logarithmic-space,,,,unclassified
read-only,,,,unclassified
cons(T,,,,unclassified
f(S,,,,unclassified
indexings,,,,unclassified
R-data,,,,unclassified
S[i,,,,unclassified
subrecursive,,,,unclassified
TRx,,,,unclassified
Avanzini,,,,unclassified
cat(tl,,,,unclassified
first-order,,,,unclassified
id(x,,,,unclassified
p(g,,,,unclassified
P(x,,,,unclassified
position(t,,,,unclassified
zeroI,,,,unclassified
0ik,,,,unclassified
Baillot,,,,unclassified
Bellantoni,,,,unclassified
bit(S,,,,unclassified
bit(x,,,,unclassified
Bonfante,,,,unclassified
C(f,,,,unclassified
C-free,,,,unclassified
character(t,,,,unclassified
cons(hd,,,,unclassified
coordinate-wise,,,,unclassified
fb0,,,,unclassified
fixed-width,,,,unclassified
fk,,,,unclassified
hd(S,,,,unclassified
LOGSPACE,,,,unclassified
non-deterministic,,,,unclassified
null(y,,,,unclassified
P(S,,,,unclassified
P(y,,,,unclassified
PTIME,,,,unclassified
Rk,,,,unclassified
RW-terms,,,,unclassified
tailrecursive,,,,unclassified
tl(S,,,,unclassified
zero(n,,,,unclassified
BL-function,,,,unclassified
BL-type,,,,unclassified
C(n,,,,unclassified
CMrec-poly,,,,unclassified
consfree,,,,unclassified
Dagstuhl,,,,unclassified
Informatik,,,,unclassified
k-tuple,,,,unclassified
k-tuples,,,,unclassified
Leibniz-Zentrum,,,,unclassified
LIPIcs,,,,unclassified
non-W,,,,unclassified
polytime,,,,unclassified
RFsymb,,,,unclassified
state(t,,,,unclassified
Theoret,,,,unclassified
vx,,,,unclassified
x-term,,,,unclassified
add(c,,,,unclassified
add(n,,,,unclassified
add(T0,,,,unclassified
always-false,,,,unclassified
base-2,,,,unclassified
Ben-Amram,,,,unclassified
big-step,,,,unclassified
bit(T,,,,unclassified
bit(y,,,,unclassified
C(g,,,,unclassified
CMpoly,,,,unclassified
