Term,Pronunciation,Context / Example Usage,Notes,Tags
Pyret,,,,unclassified
Racket,racket,Racket programming language,,
Ethel Tshukudu,,,,Author
ICFP,,,,unclassified
Shriram Krishnamurthi,,,,Author
syntax,,,,Common-term
Kathi Fisler,,,,Author
syntactic,,,,Common-term
Kuang-Chen Lu,,,,Author
Pyret-Python,,,,unclassified
Racket-Pyret,,,,unclassified
semantics,,,,
Tshukudu,,,,unclassified
mutation,,,,
Weintrop,,,,unclassified
refutation,,,,
Scholtz,,,,unclassified
transitioning,,,,unclassified
Wiedenbeck,,,,unclassified
Brown University,,,,Institution
Java,,,,
pattern-matching,,,,unclassified
Semantic,,,,Common-term
Block-Based,,,,unclassified
context,,,,Common-term
Cutts,,,,unclassified
Fisler,,,,
ICER,,,,unclassified
Pyret's,,,,unclassified
SIGCSE,,,,unclassified
Why,,,,
DefTwice,,,,unclassified
for-loops,,,,unclassified
functional programming,,,,
higher-order,,,,Common-term
https://doi.org/10,,,,unclassified
Text-Based,,,,unclassified
aliasing,,,,
CaseList,,,,unclassified
CaseStruct,,,,unclassified
Commun,,,,unclassified
expression,,,,Common-term
get_x,,,,unclassified
instruction,,,,
K ,,“K axiom”,,
Lispy,,,,unclassified
multi-armed,,,,unclassified
object-oriented,,,,unclassified
Politz,,,,unclassified
Resnick,,,,unclassified
Wilensky,,,,unclassified
BadCond,,,,unclassified
conclusion,,,,
datatype,,,,Common-term
DotField,,,,unclassified
Eastmond,,,,unclassified
f(n,,,,unclassified
Felleisen,,,,
Gentner,,,,unclassified
Go,,,,
Guth,,,,unclassified
https,,,,unclassified
Human-Computer,,,,unclassified
Java's,,,,unclassified
Kolling,,,,unclassified
Krishnamurthi,,,,
Masnick,,,,unclassified
MATLAB,,,,unclassified
OCaml,,,,Common-term programming-language
Pyret-only,,,,unclassified
recursion,,,,Common-term
reflect,,,,
Shrestha,,,,unclassified
SIGPLAN,,,,unclassified
SPLASH-E,,,,unclassified
StackOverflow,,,,
Tshukudu's,,,,unclassified
Whalley,,,,unclassified
word_double,,,,unclassified
3-month,,,,unclassified
A/B,,,,unclassified
Ablex,,,,unclassified
ACM/IEEE,,,,unclassified
Akond,,,,unclassified
Alaaeddin,,,,unclassified
Altadmri,,,,unclassified
Amjad,,,,unclassified
Annethe,,,,unclassified
any-parts-unclear,,,,unclassified
Asian--mirrors,,,,unclassified
Barik,,,,unclassified
BasicCond,,,,unclassified
block-structured,,,,unclassified
blocked-based,,,,unclassified
Blocks-based,,,,unclassified
Botta,,,,unclassified
Brinto,,,,unclassified
c^d,,,,unclassified
Carnegie Mellon University,,CMU,,Institution
Chitipothu,,,,unclassified
co-authors,,,,unclassified
college-level,,,,unclassified
consider--such,,,,unclassified
contextual,,,,Common-term
conyour,,,,unclassified
course's,,,,unclassified
CS0,,,,unclassified
CS1,,,,unclassified
Dagstuhl,,,,unclassified
Data-Centric,,,,unclassified
Data-Centricity,,,,unclassified
datacentric,,,,unclassified
dataclasses,,,,unclassified
Dedre,,,,unclassified
demographic--largely,,,,unclassified
Dibyendu,,,,unclassified
document's,,,,unclassified
DotFirst,,,,unclassified
DrRacket,,,,unclassified
EarlyUse,,,,unclassified
Ecott,,,,unclassified
education/career,,,,unclassified
eexxaamm,,,,unclassified
examexam,,,,unclassified
ExpShadow,,,,unclassified
f(a,,,,unclassified
Felienne,,,,unclassified
female-presenting,,,,unclassified
fident,,,,unclassified
Findler,,,,
first-to-last,,,,unclassified
first/second/third,,,,unclassified
FirstRest,,,,unclassified
Flatt,,,,unclassified
for-loop,,,,unclassified
Frame-Based,,,,unclassified
g(l,,,,unclassified
g(r,,,,unclassified
g(x,,,,unclassified
Gannod,,,,unclassified
Gertzog,,,,unclassified
Goletti,,,,unclassified
guages,,,,unclassified
Guerrero-Bequis,,,,unclassified
Hauswirth,,,,unclassified
Hermans,,,,unclassified
Hewson,,,,unclassified
Hirshfield,,,,unclassified
http://pyret.org,,,,unclassified
https://dcic-world.org,,,,unclassified
https://htdp.org,,,,unclassified
https://theses.gla.ac.uk/82984,,,,unclassified
ICSE,,,,unclassified
if-block,,,,unclassified
imperativity,,,,
ImpShadow,,,,unclassified
isomorphic,,,,Common-term
iterations,,,,
ITiCSE,,,,unclassified
Iveland,,,,unclassified
Java/C#/C,,,,unclassified
Junsong,,,,unclassified
kathryn_fisler@brown.edu,,,,email
kebab-cased,,,,unclassified
kuang-chen_lu@brown.edu,,,,email
langround,,,,unclassified
Language-Independent,,,,unclassified
languages--to,,,,unclassified
LaTICE,,,,unclassified
Leaming,,,,unclassified
lexically-scoped,,,,unclassified
Likert,,,,unclassified
LocalDef,,,,unclassified
loop-exit-end,,,,unclassified
Luxton-Reilly,,,,unclassified
map(.c,,,,unclassified
Marily,,,,unclassified
match,,,,
Matlen,,,,unclassified
Matthias Felleisen,,,,Author
Millner,,,,unclassified
ML,,,,Programming-language
Monroy-Hernandez,,,,unclassified
mostly-functional,,,,unclassified
Multi-arm,,,,unclassified
Multiple-select,,,,unclassified
my-account,,,,unclassified
Nischal,,,,unclassified
non-compositional,,,,unclassified
Nystrom,,,,
observational,,,,
OOPSLA,,,,unclassified
Oppezzo,,,,unclassified
out-dented,,,,unclassified
overviewed,,,,unclassified
owner/author(s,,,,unclassified
Parnin,,,,unclassified
pattern-match,,,,unclassified
