Term,Pronunciation,Context / Example Usage,Notes,Tags
 Λ_p,I assume lambda p,A probabilistic lambda calculus created by authors,,
 Λ_p^c,"Lambda p c, or lambda p continuous, maybe?",Continues version of  Λ_p created by authors,,
0CFA,,,,
2LTT (two-level type theory),,,,
3CPS,,Special variant of CPS,,
A Reasonably Gradual Type Theory,,,,Title
A completely unique account of enumeration,,,,Title
AD (automatic differentiation) ,,,,
AM (abstract machine) ,,,,
ANF,,,,
API,A.P.I.,Application Programming Interface,,Common-term
ASICs ,,Application specific integrated circutes – custom hardware to solve a problem,,
ASM,A.S.M.,Assembly language,,
AST ,A.S.T.,Abstract Syntax Tree,,
ATS ,,“Advanced Type System”,,Programming-language
AU (atomic update) ,,,,
Aarhus University,,,,Institution
Abel,,,,Name
Academia Sinica,,,,Institution
Adam Chlipala,,,,Author
Aeneas,,,,
Agda,,Agda-style,,Programming-language Common-term
Aguirre,,,,
Ahman,,,,
Ahmed,,,,Name
Ahmed ,,,,
Alan Turing Institute,,,,Institution
Alan Turing Institute,,,,Institution
Alex Hubers,,,,Author
Algol,,,,
Algorithm W,,,,
Allais,,,,
Alonzo Church,,,,researcher
Alperen Keles,,,,Author
Altenkrich,,,,
Alwyn E. Goodloe,,,,Author
Amal Ahmed,,,,Author
Amin Timany,,,,Author
Andreas Abel,,,,Author
Andres Erbsen,,,,Author
Andrzej Wąsowski,,,,Author
András Kovács,,,,Author
Andy Wright,,,,Author
Anglican,,,,
Anton Lorenzen,,,,Author
Anton Trunov,,,,Author
Appel,,,,
Appel,,,,Name
Armando Solar-Lezama,,,,Author
Armstrong,,,,
Arnaud Spiwack,,,,Author
Async,,,,
Aymeric Fromherz,,,,Author
BED ,,,,
Barthe,,,,
Bayesian programming,,,,
Bedrock,,,,
Ben Greenman,,,,Author
Benjamin Accattoli,,Author,,Author
Benjamin C. Pierce,,,,Author
Benjamin Quirring,,,,Author
Berarducci,,,,
Bernardy,,,,
Bernoulli,,,,
Bernoulli,,,,
Bernoulli,,,,
Beta-divergent,,,,
BiRelCost,,,,
Bigloo,,,,
Bird ,,,,
Blasgen,,,,
Blelloch,,,,Name
Boluton,,,,
Boolean,,,,
Borel sigma-algebra,,,,
Borel spaces,,,,
Bowman,,,,Name
Brady,,,,
Breath-first-search (BFS),,,,Common-term
Brown University,,,,Institution
Btree,Bee-tree,Data structure,,Common-term
Böhm,,,,
C++,,,,
C++ STL library,,,,
CACM ,,,,
CCC (Cartesian closed category) ,,,,Common-term
CFA,,,,
CFG (control-flow graph) ,,,,
CIC (Calculus of Inductive Constructions),see-ay-see,,,Common-term
CLU,,,,
CNRS,,Centre national de la recherche scientifique ,,Institution
CNRS,,,,Lab
CPS,C.P.S.,abbreviation for continuation-passing style ,,
CPS-based,,,,
CPU,,,,
CaReSL,,,,
calculi,,,,
Calculus of Constructions (CoC),,,,
Calculus of Inductive Constructions,,,,
Call-by-Name (CBN) ,,,,Common-term evaluation
Call-by-Push-Value (CBPV) ,,,,Common-term evaluation
Call-by-Value (CBV) ,,,,Common-term evaluation
Call-by-Value (CbV),,,,Common-term
Call-by-name (CbN),,,,
Call-by-name (CbN),,,,
Call-by-push-value (CbPV),,,,
Call-by-value (CbV),,,,
Cameron Wong,,,,Author
Cap,,,,
Capretta,,,,
Cardelli,,,,
Carlos Tomé Cortiñas,,,,Author
Carnegie Mellon University,,CMU,,Institution
Carnegie Mellon University,,Often “CMU”,,Institution
Carnegie Mellon University,,Often CMU,,Institution
Carvalho,,,,
Cas van der Rest,,,,Author
CastCIC,kast-see-ay-see,cast calculus associated to GCIC,,
CbN (Call by name),,,,
CbV (call-by-value) ,,,,Common-term
CbV Taylor expansion,,Call by value taylor expansion,,
Central Software Institute,,Institution,,Institution
CertiKOS,,“Certified Kit Operating System”,,
Cervesato,,,,
Chalmers University of Technology,,,,Institute
Chapman,,,,
Charon tool,,,,
Chhi’mèd Künzang,,,,Author
Choudhury,,,,
Christos Dimoulas,,,,Author
Church arithmetic,church arithmetic,,,
Church encoding,,,,
Church-Rosser,,,,
Clash functional hardware,,,,Programming-language
Cli package,,,,
Cmm,,,,Programming-language
Cockx and Devriese,,,,
Cogent,Koe-jent?,,,
CompCert,,A certified compiler,,
Conal Elliott,,,,Author
Continuation-passing style (CPS),,,,Common-term
Control-flow analysis,,,,
Control-flow graphs (CFGs),,,,
Coq,“Coq”,,,Common-term programming-language theorem-prover
